trade_num,timestamp_ny,timestamp_utc,session_date,open,high,low,close,opening_high,opening_low,low_touch_now,high_touch_now,low_swept,high_swept,low_sweep_bar,high_sweep_bar,bullish_gap_size,bearish_gap_size,bullish_fvg,bearish_fvg,bullish_back_inside,bearish_back_inside,long_delay_satisfied,short_delay_satisfied,long_signal,short_signal,long_stop_candidate,short_stop_candidate,bar_role
18,2026-05-21T11:35:00-04:00,2026-05-21T15:35:00+00:00,2026-05-21,708.18,709.88,708.0,709.8548,711.35,707.94,False,False,True,True,2026-05-21T11:10:00-04:00,2026-05-21T10:10:00-04:00,-1.9800000000000182,-0.7799999999999727,False,False,True,True,True,True,False,False,,,t-2
18,2026-05-21T11:40:00-04:00,2026-05-21T15:40:00+00:00,2026-05-21,709.86,710.34,709.62,709.95,711.35,707.94,False,False,True,True,2026-05-21T11:10:00-04:00,2026-05-21T10:10:00-04:00,-0.01999999999998181,-2.3500000000000227,False,False,True,True,True,True,False,False,,,t-1
18,2026-05-21T11:45:00-04:00,2026-05-21T15:45:00+00:00,2026-05-21,709.96,710.92,709.945,710.8499,711.35,707.94,False,False,True,True,2026-05-21T11:10:00-04:00,2026-05-21T10:10:00-04:00,0.06500000000005457,-2.919999999999959,True,False,True,True,True,True,True,False,708.17,,t
28,2026-06-11T10:40:00-04:00,2026-06-11T14:40:00+00:00,2026-06-11,702.07,703.17,700.8101,700.84,705.56,696.82,False,False,True,True,2026-06-11T09:40:00-04:00,2026-06-11T10:05:00-04:00,-1.9998999999999114,-2.759999999999991,False,False,True,True,True,True,False,False,,,t-2
28,2026-06-11T10:45:00-04:00,2026-06-11T14:45:00+00:00,2026-06-11,700.87,701.4499,699.57,700.09,705.56,696.82,False,False,True,True,2026-06-11T09:40:00-04:00,2026-06-11T10:05:00-04:00,-4.269999999999982,-0.4698999999999387,False,False,True,True,True,True,False,False,,,t-1
28,2026-06-11T10:50:00-04:00,2026-06-11T14:50:00+00:00,2026-06-11,700.07,700.8,699.0,699.43,705.56,696.82,False,False,True,True,2026-06-11T09:40:00-04:00,2026-06-11T10:05:00-04:00,-4.169999999999959,0.01010000000007949,False,True,True,True,True,True,False,True,,702.08,t
