trade_num,timestamp,open,high,low,close,volume,timestamp_ny
18,2026-05-21 13:30:00+00:00,708.99,710.19,707.94,710.155,1192425,2026-05-21T09:30:00-04:00
18,2026-05-21 13:35:00+00:00,710.21,710.24,708.36,708.88,709958,2026-05-21T09:35:00-04:00
18,2026-05-21 13:40:00+00:00,708.86,710.15,708.3,708.92,530437,2026-05-21T09:40:00-04:00
18,2026-05-21 13:45:00+00:00,708.95,709.83,708.4,708.61,511337,2026-05-21T09:45:00-04:00
18,2026-05-21 13:50:00+00:00,708.53,710.89,708.31,710.85,880023,2026-05-21T09:50:00-04:00
18,2026-05-21 13:55:00+00:00,710.81,711.35,709.57,710.65,674772,2026-05-21T09:55:00-04:00
18,2026-05-21 14:00:00+00:00,710.63,711.89,710.55,711.12,592893,2026-05-21T10:00:00-04:00
18,2026-05-21 14:05:00+00:00,711.1,711.48,710.23,711.465,562925,2026-05-21T10:05:00-04:00
18,2026-05-21 14:10:00+00:00,711.43,711.51,709.78,710.17,456862,2026-05-21T10:10:00-04:00
18,2026-05-21 14:15:00+00:00,710.13,710.41,708.22,708.285,690462,2026-05-21T10:15:00-04:00
18,2026-05-21 14:20:00+00:00,708.27,708.38,706.77,707.5103,688957,2026-05-21T10:20:00-04:00
18,2026-05-21 14:25:00+00:00,707.51,708.47,707.16,708.265,318676,2026-05-21T10:25:00-04:00
18,2026-05-21 14:30:00+00:00,708.31,709.4,707.98,708.45,486133,2026-05-21T10:30:00-04:00
18,2026-05-21 14:35:00+00:00,708.47,709.84,708.4,709.529,451848,2026-05-21T10:35:00-04:00
18,2026-05-21 14:40:00+00:00,709.5498,709.65,708.52,709.37,426343,2026-05-21T10:40:00-04:00
18,2026-05-21 14:45:00+00:00,709.3951,709.65,707.9,708.5,337847,2026-05-21T10:45:00-04:00
18,2026-05-21 14:50:00+00:00,708.54,709.22,707.732,709.07,296229,2026-05-21T10:50:00-04:00
18,2026-05-21 14:55:00+00:00,709.12,709.8299,708.77,709.409,245236,2026-05-21T10:55:00-04:00
18,2026-05-21 15:00:00+00:00,709.44,709.61,708.57,708.8395,306409,2026-05-21T11:00:00-04:00
18,2026-05-21 15:05:00+00:00,708.7433,708.92,707.14,707.76,392296,2026-05-21T11:05:00-04:00
18,2026-05-21 15:10:00+00:00,707.695,709.74,706.85,709.3117,783273,2026-05-21T11:10:00-04:00
18,2026-05-21 15:15:00+00:00,709.31,709.81,708.91,709.6,526129,2026-05-21T11:15:00-04:00
18,2026-05-21 15:20:00+00:00,709.59,710.01,709.05,709.46,358236,2026-05-21T11:20:00-04:00
18,2026-05-21 15:25:00+00:00,709.43,709.98,709.1,709.36,264079,2026-05-21T11:25:00-04:00
18,2026-05-21 15:30:00+00:00,709.45,709.64,707.99,708.25,395356,2026-05-21T11:30:00-04:00
18,2026-05-21 15:35:00+00:00,708.18,709.88,708.0,709.8548,398267,2026-05-21T11:35:00-04:00
18,2026-05-21 15:40:00+00:00,709.86,710.34,709.62,709.95,241442,2026-05-21T11:40:00-04:00
18,2026-05-21 15:45:00+00:00,709.96,710.92,709.945,710.8499,298557,2026-05-21T11:45:00-04:00
28,2026-06-11 13:30:00+00:00,699.29,700.38,697.35,697.7,1563188,2026-06-11T09:30:00-04:00
28,2026-06-11 13:35:00+00:00,697.73,700.07,697.17,697.97,1126223,2026-06-11T09:35:00-04:00
28,2026-06-11 13:40:00+00:00,698.0,699.62,696.82,698.97,667375,2026-06-11T09:40:00-04:00
28,2026-06-11 13:45:00+00:00,698.95,705.0,698.195,700.85,1403189,2026-06-11T09:45:00-04:00
28,2026-06-11 13:50:00+00:00,700.81,705.56,700.81,704.48,1375750,2026-06-11T09:50:00-04:00
28,2026-06-11 13:55:00+00:00,704.48,705.48,702.28,702.8,869598,2026-06-11T09:55:00-04:00
28,2026-06-11 14:00:00+00:00,702.83,706.42,702.692,706.195,759396,2026-06-11T10:00:00-04:00
28,2026-06-11 14:05:00+00:00,706.16,706.2199,704.03,704.51,893690,2026-06-11T10:05:00-04:00
28,2026-06-11 14:10:00+00:00,704.48,704.7,701.1,701.43,864833,2026-06-11T10:10:00-04:00
28,2026-06-11 14:15:00+00:00,701.38,702.34,699.2,699.46,835800,2026-06-11T10:15:00-04:00
28,2026-06-11 14:20:00+00:00,699.42,703.3199,699.26,702.41,888406,2026-06-11T10:20:00-04:00
28,2026-06-11 14:25:00+00:00,702.38,703.53,700.21,702.08,603439,2026-06-11T10:25:00-04:00
28,2026-06-11 14:30:00+00:00,702.105,702.81,700.41,701.3,553994,2026-06-11T10:30:00-04:00
28,2026-06-11 14:35:00+00:00,701.26,703.84,700.98,702.08,598167,2026-06-11T10:35:00-04:00
28,2026-06-11 14:40:00+00:00,702.07,703.17,700.8101,700.84,502936,2026-06-11T10:40:00-04:00
28,2026-06-11 14:45:00+00:00,700.87,701.4499,699.57,700.09,563687,2026-06-11T10:45:00-04:00
28,2026-06-11 14:50:00+00:00,700.07,700.8,699.0,699.43,583701,2026-06-11T10:50:00-04:00
