direction,horizon,events_total,events_available,availability_rate,gross_mean,gross_median,gross_win_rate,incremental_mean,incremental_median,incremental_win_rate,net_baseline_mean,net_baseline_median,net_stress_mean,MFE_mean,MFE_median,MAE_mean,MAE_median,primary_horizon
continuation_long,15min,2,2,1.0,-0.0009856627320780076,-0.0009856627320780076,0.5,-0.0006242865005345045,-0.0006242865005345045,0.5,-0.0012486674157195883,-0.0012486674157195883,-0.0015116720993611687,0.0009644322239827918,0.0009644322239827918,-0.0028371567309442014,-0.0028371567309442014,False
continuation_long,30min,2,2,1.0,-0.0016138107423327441,-0.0016138107423327441,0.5,-0.001365020026137519,-0.001365020026137519,0.5,-0.0018768154259743246,-0.0018768154259743246,-0.002139820109615905,0.0016374989284357877,0.0016374989284357877,-0.004236847833597401,-0.004236847833597401,True
continuation_long,60min,2,2,1.0,0.0014106632109612827,0.0014106632109612827,0.5,0.0018095695440416301,0.0018095695440416301,0.5,0.0011476585273197022,0.0011476585273197022,0.0008846538436781216,0.002133442815927311,0.002133442815927311,-0.004236847833597401,-0.004236847833597401,False
continuation_long,session_close,2,2,1.0,0.0013888435635940888,0.0013888435635940888,0.5,0.0019991630688841744,0.0019991630688841744,0.5,0.001125838879952508,0.001125838879952508,0.0008628341963109278,0.0054056092870437,0.0054056092870437,-0.008947008497426356,-0.008947008497426356,False
continuation_short,15min,1,1,1.0,-0.002117263843648187,-0.002117263843648187,0.0,-0.0019450427520408744,-0.0019450427520408744,0.0,-0.0023825486486098325,-0.0023825486486098325,-0.0026478334535714777,0.00030791263640161937,0.00030791263640161937,-0.0024746833382175426,-0.0024746833382175426,False
continuation_short,30min,1,1,1.0,0.0038338030015072633,0.0038338030015072633,1.0,0.0038538952904837516,0.0038538952904837516,1.0,0.003568518196545618,0.003568518196545618,0.0033032333915839728,0.003932492216942585,0.003932492216942585,-0.0024746833382175426,-0.0024746833382175426,True
continuation_short,60min,1,1,1.0,0.0013728630732521285,0.0013728630732521285,1.0,0.0014199475826887646,0.0014199475826887646,1.0,0.0011075782682904833,0.0011075782682904833,0.0008422934633288382,0.003932492216942585,0.003932492216942585,-0.0024746833382175426,-0.0024746833382175426,False
continuation_short,session_close,1,1,1.0,-0.0024746833382175426,-0.0024746833382175426,0.0,-0.0015578372463790156,-0.0015578372463790156,0.0,-0.002739968143179188,-0.002739968143179188,-0.003005252948140833,0.005171044774160638,0.005171044774160638,-0.0026370621174631736,-0.0026370621174631736,False
