symbol,session_date,exclusion_reason
QQQ,2022-05-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-18,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-20,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-26,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-05-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-05-31,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-06-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-02,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-14,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-06-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-17,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-06-22,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-24,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-06-27,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-06-28,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-06-29,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-06-30,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-07-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-05,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-07,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-07-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-11,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-07-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-14,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2022-07-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-07-18,EXCLUDED_DRIVE_THRESHOLD
