event_id,symbol,session_date,direction,executable_timestamp,executable_price,horizon,future_timestamp,future_price,horizon_available,path_complete,event_return,MFE,MAE,baseline_round_trip_cost,stress_round_trip_cost,net_return_baseline,net_return_stress,unconditional_return,incremental_return
QQQ-2022-03-28,QQQ,2022-03-28,continuation_long,2022-03-28T10:00:00-04:00,362.58,15min,2022-03-28T14:15:00+00:00,361.39,True,True,-0.003282034309669557,0.00019306084174530724,-0.004399029179767089,0.0002551602404986486,0.0005103204809972972,-0.0035371945501682057,-0.0037923547906668544,-0.00035219074523313676,-0.00292984356443642
QQQ-2022-03-28,QQQ,2022-03-28,continuation_long,2022-03-28T10:00:00-04:00,362.58,30min,2022-03-28T14:30:00+00:00,361.14,True,True,-0.003971537315902718,0.00019306084174530724,-0.007198411385073489,0.0002551602404986486,0.0005103204809972972,-0.004226697556401367,-0.004481857796900015,-0.0002393598099009453,-0.0037321775060017728
QQQ-2022-03-28,QQQ,2022-03-28,continuation_long,2022-03-28T10:00:00-04:00,362.58,60min,2022-03-28T15:00:00+00:00,362.28,True,True,-0.000827403607479793,0.00019306084174530724,-0.007198411385073489,0.0002551602404986486,0.0005103204809972972,-0.0010825638479784417,-0.0013377240884770902,-0.0003899540658065832,-0.00043744954167320983
QQQ-2022-03-28,QQQ,2022-03-28,continuation_long,2022-03-28T10:00:00-04:00,362.58,session_close,2022-03-28T20:00:00+00:00,365.0,True,True,0.006674389100336464,0.006701969220585857,-0.012438634232445178,0.0002551602404986486,0.0005103204809972972,0.0064192288598378154,0.006164068619339167,-0.0006314616874370551,0.007305850787773519
QQQ-2022-06-21,QQQ,2022-06-21,continuation_long,2022-06-21T10:00:00-04:00,282.29,15min,2022-06-21T14:15:00+00:00,282.66,True,True,0.0013107088455135418,0.0017358036062202764,-0.001275284282121314,0.0002708491267845124,0.0005416982535690248,0.0010398597187290294,0.000769010591944517,-0.00037056171785386917,0.001681270563367411
QQQ-2022-06-21,QQQ,2022-06-21,continuation_long,2022-06-21T10:00:00-04:00,282.29,30min,2022-06-21T14:30:00+00:00,282.5,True,True,0.0007439158312372296,0.003081937015126268,-0.001275284282121314,0.0002708491267845124,0.0005416982535690248,0.0004730667044527172,0.0002022175776682048,-0.0002582216224895051,0.0010021374537267347
QQQ-2022-06-21,QQQ,2022-06-21,continuation_long,2022-06-21T10:00:00-04:00,282.29,60min,2022-06-21T15:00:00+00:00,283.32,True,True,0.0036487300294023584,0.004073824790109315,-0.001275284282121314,0.0002708491267845124,0.0005416982535690248,0.003377880902617846,0.0031070317758333335,-0.0004078586003541118,0.00405658862975647
QQQ-2022-06-21,QQQ,2022-06-21,continuation_long,2022-06-21T10:00:00-04:00,282.29,session_close,2022-06-21T20:00:00+00:00,281.19,True,True,-0.0038967019731482866,0.004109249353501543,-0.005455382762407535,0.0002708491267845124,0.0005416982535690248,-0.004167551099932799,-0.004438400226717311,-0.0005891773231431161,-0.0033075246500051704
QQQ-2023-03-28,QQQ,2023-03-28,continuation_short,2023-03-28T10:05:00-04:00,306.35,15min,2023-03-28T14:20:00+00:00,307.0,True,True,-0.002117263843648187,0.00030791263640161937,-0.0024746833382175426,0.00026528480496164515,0.0005305696099232903,-0.0023825486486098325,-0.0026478334535714777,-0.00017222109160731284,-0.0019450427520408744
QQQ-2023-03-28,QQQ,2023-03-28,continuation_short,2023-03-28T10:05:00-04:00,306.35,30min,2023-03-28T14:35:00+00:00,305.18,True,True,0.0038338030015072633,0.003932492216942585,-0.0024746833382175426,0.00026528480496164515,0.0005305696099232903,0.003568518196545618,0.0033032333915839728,-2.0092288976488545e-05,0.0038538952904837516
QQQ-2023-03-28,QQQ,2023-03-28,continuation_short,2023-03-28T10:05:00-04:00,306.35,60min,2023-03-28T15:05:00+00:00,305.93,True,True,0.0013728630732521285,0.003932492216942585,-0.0024746833382175426,0.00026528480496164515,0.0005305696099232903,0.0011075782682904833,0.0008422934633288382,-4.708450943663612e-05,0.0014199475826887646
QQQ-2023-03-28,QQQ,2023-03-28,continuation_short,2023-03-28T10:05:00-04:00,306.35,session_close,2023-03-28T20:00:00+00:00,307.11,True,True,-0.0024746833382175426,0.005171044774160638,-0.0026370621174631736,0.00026528480496164515,0.0005305696099232903,-0.002739968143179188,-0.003005252948140833,-0.0009168460918385271,-0.0015578372463790156
