event_type,orientation,horizon,symbol,year,count,mean_return,median_return,bootstrap_lower,bootstrap_upper,economic_threshold,classification
EVENT-08,short_reversal,15min,QQQ,2023,171,-0.00035635022991,-0.0003743109540901,-0.0006284241659125,-5.981232413710694e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,15min,QQQ,2024,176,-0.000381735566922,-0.0001813602015112,-0.0005946751889995,-0.0001479290758634,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,15min,SPY,2022,171,-0.0003160398123098,-0.0002617226606995,-0.0007141615726484,5.499103338772674e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,15min,SPY,2023,190,-0.0001356001438437,-0.0002077961133579,-0.0003320150390607,7.01443831775805e-05,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,15min,SPY,2024,196,-0.0001536674747413,-0.0001743456134574,-0.0002969378940755,-1.462806771843626e-06,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,30min,QQQ,2022,165,-0.0004562544004218,-0.0004475231043352,-0.0011358602666935,0.000296112498443,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,30min,QQQ,2023,171,-0.0002318447268422,-0.0005949504052085,-0.000653148811852,0.0002295214127759,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,30min,QQQ,2024,176,-0.0005024372178577,-0.0004557968797798,-0.0008793383264283,-0.0001482874461409,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,30min,SPY,2022,171,-0.0005899960505109,-0.0004680312213758,-0.0011413983741328,-1.0508817156912652e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,30min,SPY,2023,190,-6.291752607231156e-05,-0.0002667377967457,-0.0003558223293851,0.0002864050068053,not_applicable_non_strategy_no_pnl,no_effect_detected_diagnostic_row
EVENT-08,short_reversal,30min,SPY,2024,196,-0.0002920114416834,-0.0002855058590186,-0.0004904255520495,-9.743483438914804e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
EVENT-08,short_reversal,5min,QQQ,2022,165,-0.0003066585622698,-0.0002773636584265,-0.0005851955132419,-1.5063848854460733e-05,not_applicable_non_strategy_no_pnl,stable_but_not_economic_diagnostic_row
