scenario,symbol,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,QQQ,518,-0.12842602241933831,-0.04525414212985916,0.9252406401517677,-60.40616611997865,0.1339330033344792,0.36293436293436293,1.5373492386719838,-1.0774131408592431,-1.0600256408691566,13,44770.0,0.005,0.0023887345107524494,0,10.077220077220078,29.680173745173665,0.38256693380652673,134,313,71
baseline,SPY,507,-0.17696865155286284,-0.04991906994124037,0.8680913608423394,-76.4166518399851,0.1281348088882386,0.34516765285996054,1.6272199828909308,-1.1279716968169107,-1.0763171680292218,21,40712.0,0.005,0.0016904721944533665,0,10.266272189349113,25.904595660749493,0.3788365098166302,142,316,49
severe,QQQ,518,-0.3391584216719834,-0.08964278080354593,0.7279659219001248,-226.66137721994454,0.27381698637518287,0.3532818532818533,1.3824833808200057,-1.2796373764661146,-1.1829141730037604,15,44770.0,0.005,0.0023244668414975278,0,10.077220077220078,29.680173745173665,0.38256693380652673,134,313,71
severe,SPY,507,-0.48585292916952716,-0.10470418433465992,0.6473275255348371,-227.68016979995895,0.2547038876436848,0.33727810650887574,1.3551268535147696,-1.4227801399999283,-1.2343737704917532,21,40712.0,0.005,0.0017013323633686417,0,10.266272189349113,25.904595660749493,0.3788365098166302,142,316,49
stress,QQQ,518,-0.23379222204566089,-0.06744846146670255,0.8266989275416939,-142.6690063199602,0.20184438924463624,0.361003861003861,1.4488513827000395,-1.1844096059956484,-1.1215488076311462,15,44770.0,0.005,0.0023690056646432918,0,10.077220077220078,29.680173745173665,0.38256693380652673,134,313,71
stress,SPY,507,-0.331410790361195,-0.07731162713795015,0.7536696474889427,-153.19092047997083,0.19182144408686158,0.33925049309664695,1.4998558590254751,-1.2716432193000227,-1.156887931034456,21,40712.0,0.005,0.0017232571233636675,0,10.266272189349113,25.904595660749493,0.3788365098166302,142,316,49
