symbol,hypothesis_id,session_date,timestamp,diagnostic,sweep_depth_ticks,scenario,equity_before_session,direction,actual_quantity
QQQ,HYP-FCR-03,2022-02-07,2022-02-07T16:10:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1024.3648128100003,,
QQQ,HYP-FCR-03,2022-04-07,2022-04-07T14:55:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1068.8565824700026,,
QQQ,HYP-FCR-03,2022-06-21,2022-06-21T17:35:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.49999999999954525,baseline,1052.7999509400047,,
QQQ,HYP-FCR-03,2022-07-13,2022-07-13T14:30:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1047.1095151800057,,
QQQ,HYP-FCR-03,2022-09-22,2022-09-22T14:20:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1007.8474771500081,,
QQQ,HYP-FCR-03,2022-10-25,2022-10-25T16:50:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1023.4039279900087,,
QQQ,HYP-FCR-03,2022-11-02,2022-11-02T14:45:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1013.3370461200088,,
QQQ,HYP-FCR-03,2022-11-25,2022-11-25T15:30:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.8300000000019736,baseline,1023.0115798600091,,
QQQ,HYP-FCR-03,2022-11-30,2022-11-30T15:50:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1020.5460205600093,,
QQQ,HYP-FCR-03,2023-03-22,2023-03-22T16:50:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1037.7153917900116,,
QQQ,HYP-FCR-03,2023-03-23,2023-03-23T18:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1041.4738097900115,,
QQQ,HYP-FCR-03,2023-06-13,2023-06-13T14:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1034.471876770013,,
QQQ,HYP-FCR-03,2023-06-22,2023-06-22T14:05:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1034.8563477700131,,
QQQ,HYP-FCR-03,2023-07-03,2023-07-03T16:25:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.04000000000132786,baseline,1030.1813067100136,,
QQQ,HYP-FCR-03,2023-07-03,2023-07-03T16:30:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1030.1813067100136,,
QQQ,HYP-FCR-03,2023-07-13,2023-07-13T15:05:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.32000000000493856,baseline,1038.3985126700138,,
QQQ,HYP-FCR-03,2023-08-18,2023-08-18T14:05:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1031.812749110015,,
QQQ,HYP-FCR-03,2023-08-25,2023-08-25T14:10:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1034.949536110015,,
QQQ,HYP-FCR-03,2023-08-28,2023-08-28T16:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1036.654097110015,,
QQQ,HYP-FCR-03,2023-09-07,2023-09-07T15:25:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1033.023649150015,,
QQQ,HYP-FCR-03,2023-09-26,2023-09-26T16:40:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.889999999998281,baseline,1038.7515399100155,,
QQQ,HYP-FCR-03,2023-10-18,2023-10-18T14:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1039.5313569300154,,
QQQ,HYP-FCR-03,2023-10-24,2023-10-24T14:20:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1042.7203249300155,,
QQQ,HYP-FCR-03,2023-10-27,2023-10-27T14:20:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1039.9610913300155,,
QQQ,HYP-FCR-03,2023-11-01,2023-11-01T14:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1033.2815695700156,,
QQQ,HYP-FCR-03,2023-11-06,2023-11-06T15:05:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.49999999999954525,baseline,1033.4803025700155,,
QQQ,HYP-FCR-03,2023-11-21,2023-11-21T17:50:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1023.799488870016,,
QQQ,HYP-FCR-03,2023-11-24,2023-11-24T16:25:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,baseline,1021.2082048700162,,
QQQ,HYP-FCR-03,2023-11-24,2023-11-24T17:55:00+00:00,no_next_minute_entry,,baseline,1021.2082048700162,long,2.0
