scenario,entry_hour,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,10,467,-0.04906735396368581,0.04556081457546508,1.1017886968902433,64.95805079001438,0.04675087973157143,0.3811563169164882,1.661352081697889,-1.1025436845787735,-1.059432679738555,13,43878.0,0.005,0.002187232094836666,0,9.400428265524626,27.78156316916473,0.30981875242977136,145,278,44
baseline,11,283,-0.25138411834306784,-0.1462382194651501,0.7208164078624127,-115.02016048999077,0.07197924952215064,0.30742049469964666,1.6619279001656253,-1.1006603714566203,-1.0792508771929674,16,23985.0,0.005,0.0019852757987858702,0,11.130742049469964,27.278409893992794,0.3773453243219259,74,188,21
baseline,12,118,-0.32471787910539635,-0.1920213269231104,0.7175603114557569,-43.52991208999412,0.03098866899200657,0.3135593220338983,1.5259208820883698,-1.170071387305018,-1.0911869631410185,20,9515.0,0.005,0.001773244554068387,0,12.796610169491526,25.484152542372986,0.440528773435576,28,80,10
baseline,13,81,-0.10962719788295,0.010329804180898856,0.8845736759049121,-11.031564359996507,0.014423946377151414,0.3950617283950617,1.4296838418200233,-1.1148915503420347,-1.0543079999999896,7,5199.0,0.004999999999999999,0.001908534333667383,0,9.197530864197532,30.973950617284405,0.5621322025872263,20,45,16
baseline,14,47,-0.3640317145700206,-0.25909844785247627,0.4701899915179092,-34.429908389998225,0.016003534458989523,0.3191489361702128,1.1362656781726839,-1.0672961174181634,-1.0678450617283668,6,2380.0,0.005000000000000001,0.0020105675203903016,0,5.957446808510638,32.92276595744671,0.5724075272385395,6,28,13
baseline,15,29,0.07290955825370654,0.18473555537103292,1.0991806545286216,2.2306765800015134,0.00469920667366425,0.4827586206896552,1.0159868051079675,-0.8072958721436035,-0.002676086956497141,5,525.0,0.005000000000000001,0.001821814756794127,0,12.068965517241379,25.889310344828196,0.4947393298561869,3,10,16
severe,10,467,-0.2831628270873494,0.0007216785301032469,0.861800273634533,-92.9502618399577,0.08636812323071312,0.3747323340471092,1.4661032698849683,-1.3315243578070606,-1.1858785123966522,14,43878.0,0.005,0.0021536259599942496,0,9.400428265524626,27.78156316916473,0.30981875242977136,145,278,44
severe,11,283,-0.5109808377113049,-0.19554314107755152,0.568723065758697,-190.67878365997404,0.10200403065176603,0.30742049469964666,1.3998495435421592,-1.3591555477574853,-1.2396422413792658,16,23985.0,0.005,0.001992228150405775,0,11.130742049469964,27.278409893992794,0.3773453243219259,74,188,21
severe,12,118,-0.6516142391080442,-0.25352458256118615,0.5227273924457353,-80.50629791998749,0.04410438687773758,0.288135593220339,1.3307413240261283,-1.45399625275759,-1.2724431365739854,20,9515.0,0.005,0.0017460475444031605,0,12.796610169491526,25.484152542372986,0.440528773435576,28,80,10
severe,13,81,-0.40883565880611683,-0.048964652614570295,0.6592871865636729,-34.79958195999156,0.024378113843585705,0.3950617283950617,1.1651364304765142,-1.436735798745794,-1.1629239999999688,7,5199.0,0.004999999999999999,0.0018727149880430963,0,9.197530864197532,30.973950617284405,0.5621322025872263,20,45,16
severe,14,47,-0.6231052945057526,-0.3083054943531195,0.32993369409770584,-44.43790767999565,0.020834250811631264,0.2978723404255319,0.9349008849375106,-1.2840776130574398,-1.2081542763157591,7,2380.0,0.005000000000000001,0.001898422238244311,0,5.957446808510638,32.92276595744671,0.5724075272385395,6,28,13
severe,15,29,-0.20257802665969413,0.13289996469228516,0.5930484009875631,-10.968713959997025,0.007387076723398111,0.41379310344827586,0.8956654118156139,-0.9778086891128526,-0.2910476635512746,5,525.0,0.005000000000000001,0.0017295197507905366,0,12.068965517241379,25.889310344828196,0.4947393298561869,3,10,16
stress,10,467,-0.16611509052551765,0.023141246552784163,0.9747649435040859,-16.822563439970367,0.05890547831982051,0.37687366167023556,1.5684569454632111,-1.215203332223168,-1.1253558139534587,14,43878.0,0.005,0.0022068121338135994,0,9.400428265524626,27.78156316916473,0.30981875242977136,145,278,44
stress,11,283,-0.3811824780271864,-0.17089068027135082,0.6466751011668685,-149.77325351998192,0.08418123629087491,0.30742049469964666,1.5308887218538927,-1.2299079596070528,-1.1605149606298948,16,23985.0,0.005,0.001978545505822888,0,11.130742049469964,27.278409893992794,0.3773453243219259,74,188,21
stress,12,118,-0.4881660591067203,-0.2227729547421482,0.6293577312514381,-60.28518397999043,0.03608461759791567,0.3050847457627119,1.4098225425041941,-1.3214293476188292,-1.1816673379628932,20,9515.0,0.005,0.0017920127082371366,0,12.796610169491526,25.484152542372986,0.440528773435576,28,80,10
stress,13,81,-0.2592314283445334,-0.019317424216835685,0.7752176369709234,-22.376688199993865,0.018775228666574106,0.3950617283950617,1.2974101361482688,-1.2758136745439144,-1.1086159999999792,7,5199.0,0.004999999999999999,0.0019098105082811098,0,9.197530864197532,30.973950617284405,0.5621322025872263,20,45,16
stress,14,47,-0.49356850453788664,-0.2837019711027979,0.3765145020392323,-41.872353819996796,0.019639508910192633,0.3191489361702128,1.0029792290686768,-1.1950752546659635,-1.1376730263157702,6,2380.0,0.005000000000000001,0.0019422301331249025,0,5.957446808510638,32.92276595744671,0.5724075272385395,6,28,13
stress,15,29,-0.0648342342029938,0.15881776003165904,0.8126566576370743,-4.729883839997677,0.005576419574114415,0.4482758620689655,0.9507115993499666,-0.8899652239647742,-0.13578695652170067,5,525.0,0.005000000000000001,0.0018237822135225444,0,12.068965517241379,25.889310344828196,0.4947393298561869,3,10,16
