scenario,direction,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,long,522,-0.1724776520618934,-0.06536819754880203,0.8700470782107143,-89.80756997998357,0.06640594082415885,0.3448275862068966,1.603887789073609,-1.1074068316068946,-1.0684961611531767,19,42282.0,0.005000000000000001,0.001966844965532007,0,10.545977011494253,25.839750957854367,0.34905765377901804,140,328,54
baseline,short,503,-0.13163906873600464,-0.029082335910539298,0.9324731587258269,-47.01524797998016,0.07249589199717674,0.36381709741550694,1.5578434526939686,-1.0978118856787706,-1.0624902953586481,18,43200.0,0.004999999999999999,0.002122745143439201,0,9.78131212723658,29.86005964214706,0.41358188253710715,136,301,66
severe,long,522,-0.4375398203410522,-0.11621145680177807,0.6549695962724172,-259.606651269952,0.13783611054708575,0.33524904214559387,1.3922130205611445,-1.3603258352052725,-1.2191307993856495,21,42282.0,0.005000000000000001,0.001959869797185174,0,10.545977011494253,25.839750957854367,0.34905765377901804,140,328,54
severe,short,503,-0.38492189124653753,-0.07725169277014156,0.7319097261802823,-194.73489574995142,0.1341983875009992,0.3558648111332008,1.3468372739826053,-1.3416653806786873,-1.195425355927468,18,43200.0,0.004999999999999999,0.002074746119270298,0,9.78131212723658,29.86005964214706,0.41358188253710715,136,301,66
stress,long,522,-0.30500873620147284,-0.09078982717529005,0.7575384966550182,-178.03553697996634,0.10280582184592466,0.3371647509578544,1.511186696849277,-1.2288538119729526,-1.1441145458295443,21,42282.0,0.005000000000000001,0.0019933787092391475,0,10.545977011494253,25.839750957854367,0.34905765377901804,140,328,54
stress,short,503,-0.25828047999127113,-0.05316701434034042,0.834249078728075,-117.82438981996475,0.1002111465560849,0.36381709741550694,1.436839112960745,-1.2276769972107051,-1.1293522431258858,18,43200.0,0.004999999999999999,0.0021079375936536165,0,9.78131212723658,29.86005964214706,0.41358188253710715,136,301,66
