scenario,year,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,2022,343,-0.06430280585253081,0.0030704825823499138,0.9810443388961245,-12.357034239985353,0.06464766638056596,0.358600583090379,1.7293834170680027,-1.0671364668490106,-1.050404530744323,16,29471.0,0.004999999999999999,0.002840001639116395,0,10.495626822157435,34.785830903790114,0.38284512120318265,103,210,30
baseline,2023,349,-0.15186949184768775,-0.03684781755281674,0.9150314189699406,-36.476764699987456,0.04317257423720409,0.36962750716332377,1.5229704522548475,-1.1339347317987198,-1.0805548747104023,13,28207.0,0.004999999999999999,0.001881585368090432,0,9.87106017191977,22.80346704871048,0.37996980401954944,94,212,43
baseline,2024,333,-0.24381222488966248,-0.11094264649636305,0.7125804949649311,-87.9890190199909,0.048850443841327994,0.3333333333333333,1.4829532003243804,-1.107194937496684,-1.0876416666666524,15,27804.0,0.005,0.0013923123828142386,0,10.15015015015015,25.879909909909873,0.3793226546945882,79,207,47
severe,2022,343,-0.23655931362518148,-0.034439448320539356,0.7861911515021107,-155.128876719958,0.11253388261656765,0.358600583090379,1.5592407563317137,-1.2405748072829001,-1.1495165680473332,16,29471.0,0.004999999999999999,0.0028627129730593205,0,10.495626822157435,34.785830903790114,0.38284512120318265,103,210,30
severe,2023,349,-0.4401188804215811,-0.0950538575369682,0.6604094538684777,-156.8177214599653,0.09208587479033453,0.3524355300859599,1.3253482002130264,-1.400970433156345,-1.2396422413792658,14,28207.0,0.004999999999999999,0.0018700649799018897,0,9.87106017191977,22.80346704871048,0.37996980401954944,94,212,43
severe,2024,333,-0.562372863887293,-0.16376412870739473,0.5114437826773544,-142.39494883998017,0.07457531316595363,0.32432432432432434,1.2029324906118861,-1.409719434046899,-1.2731613067261902,17,27804.0,0.005,0.0012975558690045473,0,10.15015015015015,25.879909909909873,0.3793226546945882,79,207,47
stress,2022,343,-0.15043105973885612,-0.01568448286909474,0.8782724162074327,-83.77270847997153,0.08605377149926655,0.358600583090379,1.644312086699858,-1.1538556370659554,-1.0998982456140376,16,29471.0,0.004999999999999999,0.0028532645416442445,0,10.495626822157435,34.785830903790114,0.38284512120318265,103,210,30
stress,2023,349,-0.29599418613463446,-0.06595083754489248,0.7895210348898716,-97.06096415997456,0.06588950024079365,0.3638968481375358,1.4134121803984878,-1.2738978282504299,-1.1619700934579025,13,28207.0,0.004999999999999999,0.0019480897677023492,0,9.87106017191977,22.80346704871048,0.37996980401954944,94,212,43
stress,2024,333,-0.40309254438847775,-0.13735338760187893,0.6111275385110452,-115.02625415998493,0.06163683461349741,0.32732732732732733,1.3500613095651244,-1.2561897322498286,-1.1826558318037521,17,27804.0,0.005,0.0013281778652207469,0,10.15015015015015,25.879909909909873,0.3793226546945882,79,207,47
