scenario,year,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,2022,342,-0.04363739265409608,0.023526229276102244,1.0022911370680059,1.4771807600145337,0.06136651414231061,0.3654970760233918,1.7314336802142296,-1.0661437710344681,-1.0484960435360633,15,29430.0,0.004999999999999999,0.00282889362239811,0,10.350877192982455,34.867046783625746,0.3835168445873326,105,207,30
baseline,2023,351,-0.15150071425711426,-0.03662393502870459,0.9106865101475762,-38.581265709987136,0.04436804991947131,0.37037037037037035,1.5120010036626674,-1.1300311365628681,-1.0802574803149476,13,28392.0,0.005,0.0018740825051907631,0,9.92877492877493,22.83492877492866,0.382213966165118,94,212,45
baseline,2024,332,-0.2473455510134707,-0.11551918239488208,0.7148832495141842,-88.14395648999101,0.04967593749373436,0.33433734939759036,1.472733686226301,-1.1112767516180617,-1.0879126436781488,15,28216.0,0.004999999999999999,0.0014026206783452223,0,10.0,25.970632530120422,0.3803205112163689,78,207,47
severe,2022,342,-0.21531973796907403,-0.01382887217847905,0.8033666620531328,-141.04623171995814,0.10889341300119468,0.3654970760233918,1.560120764355018,-1.2380389213354863,-1.1487416288284127,15,29430.0,0.004999999999999999,0.002850569398067834,0,10.350877192982455,34.867046783625746,0.3835168445873326,105,207,30
severe,2023,351,-0.43938189131483246,-0.09475155362960347,0.6495978149426418,-165.3563662599645,0.09643404905243291,0.3475783475783476,1.3328469325983923,-1.3835387320022272,-1.2391648854961341,17,28392.0,0.005,0.0018816927337640566,0,9.92877492877493,22.83492877492866,0.382213966165118,94,212,45
severe,2024,332,-0.5634628283628025,-0.16798372250703686,0.5104396490646571,-142.7371938399804,0.07474647954881561,0.3253012048192771,1.1958081694001075,-1.4116827737127768,-1.2733032310860999,17,28216.0,0.004999999999999999,0.001297216902649713,0,10.0,25.970632530120422,0.3803205112163689,78,207,47
stress,2022,342,-0.12947856531158503,0.004848678548811597,0.8974072552882755,-69.81427847997169,0.08259509715494116,0.3654970760233918,1.6457772222846239,-1.152091346184977,-1.098369629243463,15,29430.0,0.004999999999999999,0.0028416750050103768,0,10.350877192982455,34.867046783625746,0.3835168445873326,105,207,30
stress,2023,351,-0.29544130278597336,-0.06568774432915409,0.7817212373687517,-101.77292149997405,0.06834880960584172,0.3646723646723647,1.4008019416729838,-1.2690697121615186,-1.1605149606298948,13,28392.0,0.005,0.0019448737397934866,0,9.92877492877493,22.83492877492866,0.382213966165118,94,212,45
stress,2024,332,-0.40540418968813663,-0.1417514524509595,0.6098671438146567,-115.49108415998514,0.06186923638949478,0.32831325301204817,1.3413283152726525,-1.2591882391981188,-1.1831443715980454,17,28216.0,0.004999999999999999,0.0013263361317088953,0,10.0,25.970632530120422,0.3803205112163689,78,207,47
