scenario,direction,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,long,522,-0.17075279647347988,-0.06390991360979391,0.8762448374914006,-85.08080070998348,0.06683680485590171,0.34674329501915707,1.5894919218922117,-1.1050762393596683,-1.0684961611531767,19,42957.0,0.005000000000000001,0.001958301981633801,0,10.277777777777779,25.827068965517185,0.3493507583083327,139,326,57
baseline,short,503,-0.12144433830867538,-0.01948394519569936,0.9424843157625342,-40.167240729980136,0.0710358972167929,0.36779324055666,1.560890496278673,-1.100161144593768,-1.0624745247148357,18,43081.0,0.004999999999999999,0.0021246938548307773,0,9.900596421471173,29.980337972166947,0.4159546259636362,138,300,65
severe,long,522,-0.43508266547369623,-0.11455401688263833,0.6561764705302817,-257.9867090199518,0.1386050642923225,0.33524904214559387,1.3855048709722797,-1.3532464086380933,-1.2191307993856495,21,42957.0,0.005000000000000001,0.001952817495603331,0,10.277777777777779,25.827068965517185,0.3493507583083327,139,326,57
severe,short,503,-0.37339741923680014,-0.0675162398978721,0.7382991784718989,-191.15308279995122,0.1339915419060471,0.35785288270377735,1.3572575066469097,-1.337849080719982,-1.1951601156068816,18,43081.0,0.004999999999999999,0.0020808631464515883,0,9.900596421471173,29.980337972166947,0.4159546259636362,138,300,65
stress,long,522,-0.3029177309735881,-0.08923196524621613,0.7590122950880919,-176.3425542399661,0.10350283243878806,0.3390804597701149,1.496358473228193,-1.2260246531292844,-1.1441145458295443,21,42957.0,0.005000000000000001,0.001984402861605167,0,10.277777777777779,25.827068965517185,0.3493507583083327,139,326,57
stress,short,503,-0.2474208787727378,-0.04350009254678575,0.8442605972008184,-110.73572989996478,0.09848138951036431,0.36779324055666,1.439860204989453,-1.2290152199551445,-1.128928869130261,18,43081.0,0.004999999999999999,0.0021053455991063984,0,9.900596421471173,29.980337972166947,0.4159546259636362,138,300,65
