scenario,symbol,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,QQQ,518,-0.12831401787621077,-0.045134504867364804,0.9264544580344091,-59.414069099978676,0.13301294606491298,0.36293436293436293,1.5373492386719838,-1.0772373276673035,-1.0600256408691566,13,44764.0,0.005,0.0023881198158001993,0,10.019305019305019,29.76511583011575,0.3840528541383653,134,313,71
baseline,SPY,507,-0.16519290072690934,-0.039017210683341644,0.8861021744137578,-65.83397233998497,0.1241687435025501,0.3510848126232742,1.614837768560179,-1.1282490075144527,-1.075881167477421,21,41274.0,0.005,0.001684237828024107,0,10.167652859960553,25.924082840236657,0.3799741504003657,143,313,51
severe,QQQ,518,-0.33902925056910377,-0.08949071154256587,0.7281688940965845,-226.42912565994448,0.2735976999990303,0.3532818532818533,1.3824833808200057,-1.2794376432383785,-1.1829141730037604,15,44764.0,0.005,0.002322660286946218,0,10.019305019305019,29.76511583011575,0.3840528541383653,134,313,71
severe,SPY,507,-0.4720215018906986,-0.09349443175999562,0.6562019569539028,-222.71066615995858,0.25516545420930026,0.33925049309664695,1.359158400735649,-1.4122093921943755,-1.2339817427385076,21,41274.0,0.005,0.001701985930437765,0,10.167652859960553,25.924082840236657,0.3799741504003657,143,313,51
stress,QQQ,518,-0.23367163422265727,-0.06731260820496535,0.8268928845521473,-142.47590527996013,0.20166356888667328,0.361003861003861,1.4488513827000395,-1.1842208915173529,-1.1215488076311462,15,44764.0,0.005,0.00236732439106269,0,10.019305019305019,29.76511583011575,0.3840528541383653,134,313,71
stress,SPY,507,-0.31860720130880404,-0.06625582122166862,0.7666690573734342,-144.6023788599707,0.18926843505889787,0.34516765285996054,1.4873964521116094,-1.2705669583828172,-1.1562491803278356,21,41274.0,0.005,0.0017131619241379532,0,10.167652859960553,25.924082840236657,0.3799741504003657,143,313,51
