hypothesis_id,symbol,session_date,executable_timestamp,direction_orientation,year,executable_timestamp_hour_bucket,horizon,event_return,unconditional_return,unconditional_sample_count
HYP-OR-CONT-EVENT-01,QQQ,2022-01-13,2022-01-13T15:20:00+00:00,continuation_short,2022,10:00,30min,0.00673156586578294,6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-13,2022-01-13T15:20:00+00:00,continuation_short,2022,10:00,15min,0.0018900165700083127,4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-13,2022-01-13T15:20:00+00:00,continuation_short,2022,10:00,60min,0.00362468931234472,4.633988252025494e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-13,2022-01-13T15:20:00+00:00,continuation_short,2022,10:00,session_close,0.02224005799502904,-0.6632079556976866,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-18,2022-01-18T15:25:00+00:00,continuation_long,2022,10:00,30min,-0.006070449159988223,-6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-18,2022-01-18T15:25:00+00:00,continuation_long,2022,10:00,15min,-0.0021251897015360788,-4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-18,2022-01-18T15:25:00+00:00,continuation_long,2022,10:00,60min,-0.007641311004020213,-4.633988252025494e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-18,2022-01-18T15:25:00+00:00,continuation_long,2022,10:00,session_close,-0.012753268191378786,0.6632079556976866,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-19,2022-01-19T15:20:00+00:00,continuation_long,2022,10:00,30min,-0.00910132512381212,-6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-19,2022-01-19T15:20:00+00:00,continuation_long,2022,10:00,15min,-0.007308258599919792,-4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-19,2022-01-19T15:20:00+00:00,continuation_long,2022,10:00,60min,-0.013786641681167278,-4.633988252025494e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-19,2022-01-19T15:20:00+00:00,continuation_long,2022,10:00,session_close,-0.018792664971222117,0.6632079556976866,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-20,2022-01-20T15:20:00+00:00,continuation_long,2022,10:00,30min,0.006766045771895213,-6.854725940864175e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-20,2022-01-20T15:20:00+00:00,continuation_long,2022,10:00,15min,0.004730840768795375,-4.075772565520843e-05,3012
HYP-OR-CONT-EVENT-01,QQQ,2022-01-20,2022-01-20T15:20:00+00:00,continuation_long,2022,10:00,60min,0.0038278027872873377,-4.633988252025494e-05,3012
