hypothesis_id,symbol,session_date,sweep_timestamp,confirmation_timestamp,executable_timestamp,direction_orientation,swept_side,year,executable_timestamp_hour_bucket,horizon,executable_price_reference,event_return,future_close,maximum_favorable_excursion,maximum_adverse_excursion,bars_in_path,baseline_cost_return,stress_cost_return,event_return_after_baseline_cost,event_return_after_stress_cost,unconditional_return,unconditional_sample_count,incremental_return
HYP-OR-CONT-EVENT-01,QQQ,2022-01-03,2022-01-03T19:40:00+00:00,2022-01-03T20:00:00+00:00,2022-01-03T20:00:00+00:00,continuation_long,high,2022,15:00,30min,401.3665,0.001129890013242374,401.82,0.0013289599406030028,-0.00026534352019902396,7,0.0002498297690514779,0.0004996595381029558,0.000880060244190896,0.0006302304751394181,-4.450188879573633e-05,1494,0.0011743919020381103
HYP-OR-CONT-EVENT-01,QQQ,2022-01-03,2022-01-03T19:40:00+00:00,2022-01-03T20:00:00+00:00,2022-01-03T20:00:00+00:00,continuation_long,high,2022,15:00,15min,401.3665,0.0009056560525106949,401.73,0.0013289599406030028,-0.00026534352019902396,4,0.0002498297690514779,0.0004996595381029558,0.000655826283459217,0.0004059965144077391,-1.553494644865927e-05,2241,0.0009211909989593542
HYP-OR-CONT-EVENT-01,QQQ,2022-01-03,2022-01-03T19:40:00+00:00,2022-01-03T20:00:00+00:00,2022-01-03T20:00:00+00:00,continuation_long,high,2022,15:00,session_close,401.3665,0.0010302304751392821,401.78,0.0013289599406030028,-0.0014363430929087428,12,0.0002498297690514779,0.0004996595381029558,0.0007804007060878042,0.0005305709370363263,0.6625836744318224,2988,-0.6615534439566831
HYP-OR-CONT-EVENT-01,QQQ,2022-01-04,2022-01-04T15:00:00+00:00,2022-01-04T15:20:00+00:00,2022-01-04T15:20:00+00:00,continuation_short,low,2022,10:00,30min,398.92,0.0068184097062068405,396.2,0.0069160482608914275,0.002076297686053774,7,0.0002501353654868144,0.0005002707309736288,0.006568274340720026,0.006318138975233212,6.854725940864175e-05,3012,0.006749862446798199
HYP-OR-CONT-EVENT-01,QQQ,2022-01-04,2022-01-04T15:00:00+00:00,2022-01-04T15:20:00+00:00,2022-01-04T15:20:00+00:00,continuation_short,low,2022,10:00,15min,398.92,0.0038135465757545006,397.3987,0.004052251390601835,0.002076297686053774,4,0.0002501353654868144,0.0005002707309736288,0.0035634112102676863,0.003313275844780872,4.075772565520843e-05,3012,0.003772788850099292
HYP-OR-CONT-EVENT-01,QQQ,2022-01-04,2022-01-04T15:00:00+00:00,2022-01-04T15:20:00+00:00,2022-01-04T15:20:00+00:00,continuation_short,low,2022,10:00,60min,398.92,0.011330592600020117,394.4,0.012924358225630428,0.002076297686053774,13,0.0002501353654868144,0.0005002707309736288,0.011080457234533303,0.010830321869046488,4.633988252025494e-05,3012,0.011284252717499863
HYP-OR-CONT-EVENT-01,QQQ,2022-01-04,2022-01-04T15:00:00+00:00,2022-01-04T15:20:00+00:00,2022-01-04T15:20:00+00:00,continuation_short,low,2022,10:00,session_close,398.92,0.006091446906647979,396.49,0.014320294542421896,0.002076297686053774,68,0.0002501353654868144,0.0005002707309736288,0.0058413115411611646,0.005591176175674351,-0.6632079556976866,3012,0.6692994026043346
HYP-OR-CONT-EVENT-01,QQQ,2022-01-05,2022-01-05T17:30:00+00:00,2022-01-05T17:50:00+00:00,2022-01-05T17:50:00+00:00,continuation_short,low,2022,12:00,30min,391.47,-0.00040871586583901554,391.63,0.0024069853788442064,0.0007912604012454416,7,0.00025108948322987714,0.0005021789664597543,-0.0006598053490688927,-0.0009108948322987698,0.0001369537087975617,3000,-0.0005456695746365772
HYP-OR-CONT-EVENT-01,QQQ,2022-01-05,2022-01-05T17:30:00+00:00,2022-01-05T17:50:00+00:00,2022-01-05T17:50:00+00:00,continuation_short,low,2022,12:00,15min,391.47,0.0016514675454057937,390.8235,0.0020221152861676917,0.00025180772922028805,4,0.00025108948322987714,0.0005021789664597543,0.0014003780621759166,0.0011492885789460394,8.121155156313482e-05,3006,0.0015702559938426588
HYP-OR-CONT-EVENT-01,QQQ,2022-01-05,2022-01-05T17:30:00+00:00,2022-01-05T17:50:00+00:00,2022-01-05T17:50:00+00:00,continuation_short,low,2022,12:00,60min,391.47,1.2772370807656586e-05,391.465,0.0024069853788442064,0.001377770623767094,13,0.00025108948322987714,0.0005021789664597543,-0.00023831711242222056,-0.0004894065956520977,0.0001640072869729762,2988,-0.00015123491616531962
