symbol,count,session_count,mean,median,directional_win_rate,mean_mfe,mean_mae,mean_unconditional_return,mean_incremental_return,mean_baseline_cost_return,mean_stress_cost_return,bootstrap_ci_low,bootstrap_ci_high,bootstrap_grouped_by,bootstrap_seed
QQQ,2982,746,0.00020969247564508418,0.00025420999780823017,0.5298457411133467,0.00379401875227043,-8.775089925494453e-05,0.002326140284867772,-0.0021164478092226876,0.0002555921476090519,0.0005111842952181038,-0.00011654754623997417,0.0004932970079465546,session_date,17
SPY,2985,747,0.00020495624002287677,0.00020645990089929178,0.5380234505862647,0.0028496090961483713,-8.346584516208878e-05,0.0016927839626940302,-0.0014878277226711535,0.0002443613998302473,0.0004887227996604946,-3.0555407914069555e-05,0.00043173042626007527,session_date,17
