symbol,direction_orientation,horizon,count,mean_event_return,mean_baseline_cost_return,mean_stress_cost_return,baseline_cost_passed,stress_cost_passed
QQQ,continuation_long,15min,387,-0.00010572206042599742,0.00025533944177324157,0.0005106788835464831,False,False
QQQ,continuation_long,30min,387,-8.71629025463603e-05,0.00025533944177324157,0.0005106788835464831,False,False
QQQ,continuation_long,60min,386,0.00015214912000604405,0.0002553537155367694,0.0005107074310735388,False,False
QQQ,continuation_long,session_close,387,0.0008315283759942433,0.00025533944177324157,0.0005106788835464831,True,True
QQQ,continuation_short,15min,359,0.00011113994568951814,0.0002558541471640313,0.0005117082943280626,False,False
QQQ,continuation_short,30min,359,0.0002074427984964608,0.0002558541471640313,0.0005117082943280626,False,False
QQQ,continuation_short,60min,358,9.998177331656076e-05,0.00025588056306872803,0.0005117611261374561,False,False
QQQ,continuation_short,session_close,359,0.00047145883343103925,0.0002558541471640313,0.0005117082943280626,True,False
SPY,continuation_long,15min,388,8.845799571923413e-05,0.0002442942763016002,0.0004885885526032004,False,False
SPY,continuation_long,30min,388,7.599512776921011e-05,0.0002442942763016002,0.0004885885526032004,False,False
SPY,continuation_long,60min,388,9.930363302956795e-05,0.0002442942763016002,0.0004885885526032004,False,False
SPY,continuation_long,session_close,389,0.0005420530700528843,0.00024427952800764235,0.0004885590560152847,True,True
SPY,continuation_short,15min,358,0.0001299577974696182,0.00024443820145478545,0.0004888764029095709,False,False
SPY,continuation_short,30min,358,0.0002366138326875608,0.00024443820145478545,0.0004888764029095709,False,False
SPY,continuation_short,60min,358,0.00010978744919647014,0.00024443820145478545,0.0004888764029095709,False,False
SPY,continuation_short,session_close,358,0.0003577138555310616,0.00024443820145478545,0.0004888764029095709,True,False
