event_type,horizon,symbol,orientation,year,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-02,60min,SPY,long_reversal,2024,-0.000641038551035001,0.00013657184854787703,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2022,-0.0027444951980352596,0.0016742743824674981,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2023,-0.000629290448239675,0.0016160106815937402,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2024,-0.0016247233373023926,0.0008468196893543967,session_date,17
EVENT-02,session_close,SPY,long_reversal,2022,-0.0020277642725038316,0.0012553033226875125,session_date,17
EVENT-02,session_close,SPY,long_reversal,2023,-0.0006354008453683471,0.0012094904784932135,session_date,17
EVENT-02,session_close,SPY,long_reversal,2024,-0.000902084224672326,0.0006285628970437666,session_date,17
EVENT-03,15min,QQQ,short_reversal,2022,-0.0005610325559677612,0.00044975006535592256,session_date,17
EVENT-03,15min,QQQ,short_reversal,2023,-0.00029491548367893027,0.00031421608056739285,session_date,17
EVENT-03,15min,QQQ,short_reversal,2024,-0.0003308754057096078,0.0001772146983978024,session_date,17
EVENT-03,15min,SPY,short_reversal,2022,-0.000275414266054939,0.0004969884257700532,session_date,17
EVENT-03,15min,SPY,short_reversal,2023,-0.00016297342120954084,0.00024334694718687212,session_date,17
EVENT-03,15min,SPY,short_reversal,2024,-0.00017993287728236605,0.00011167654211314152,session_date,17
EVENT-03,30min,QQQ,short_reversal,2022,-0.0006136208490131807,0.0008243743217227494,session_date,17
EVENT-03,30min,QQQ,short_reversal,2023,-0.0002925625885759556,0.0006486523182200092,session_date,17
EVENT-03,30min,QQQ,short_reversal,2024,-0.0005884207975101722,0.00010066172699909355,session_date,17
EVENT-03,30min,SPY,short_reversal,2022,-0.0005177619624526339,0.0005218048875976049,session_date,17
EVENT-03,30min,SPY,short_reversal,2023,-0.0002129289252336451,0.0004033403597155595,session_date,17
EVENT-03,30min,SPY,short_reversal,2024,-0.0003919762423395641,4.080482693046412e-05,session_date,17
EVENT-03,5min,QQQ,short_reversal,2022,-0.0004529060120917483,0.00017892970602481994,session_date,17
EVENT-03,5min,QQQ,short_reversal,2023,-0.00010935353408098435,0.0002809662518304464,session_date,17
EVENT-03,5min,QQQ,short_reversal,2024,-0.0001493726568120865,0.0001736862372168889,session_date,17
EVENT-03,5min,SPY,short_reversal,2022,-0.00022484386649765985,0.0002506177084462749,session_date,17
EVENT-03,5min,SPY,short_reversal,2023,-5.9173883349716586e-05,0.00017420430025976902,session_date,17
EVENT-03,5min,SPY,short_reversal,2024,-7.433329542924196e-05,0.0001327198494149129,session_date,17
EVENT-03,60min,QQQ,short_reversal,2022,-0.0009633799605200581,0.0009723749403170538,session_date,17
EVENT-03,60min,QQQ,short_reversal,2023,-0.0009224012540075328,0.0003865910769407418,session_date,17
EVENT-03,60min,QQQ,short_reversal,2024,-0.000909660241580401,0.0001095900126593118,session_date,17
EVENT-03,60min,SPY,short_reversal,2022,-0.0007649503645254072,0.0006593069682836405,session_date,17
