year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
2022,14095,14095,13941,251,-0.00013502428006200725,-0.0001564210855624,0.006456113939493398,0.47787102790330677,0.00013502428006200725,0.0001564210855624,0.0038326181086481897,0.0021121193170421,-0.00020239322097616538,-6.557811413254733e-05,-0.00041319399017077037,0.00013730163401348534,session_date,17
2023,14190,14190,13935,250,-0.00010196100754883408,-8.749234441984832e-05,0.0037926639077960375,0.4810907786149982,0.00010196100754883408,8.749234441984832e-05,0.0023012191963146834,0.0012847491416545,3.3261439333793756e-05,4.852249017417432e-05,-0.00025848092987262845,3.691539118329303e-05,session_date,17
2024,14205,14205,13936,252,-0.0001650435045772541,-5.474409887507026e-05,0.003289995429384489,0.4822761194029851,0.0001650435045772541,5.474409887507026e-05,0.00185900921962551,0.0010388788273788,-0.000151962072008271,4.7741356427377646e-05,-0.0003075757942002264,-2.9559267114247567e-05,session_date,17
