horizon,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
15min,8498,8498,8382,753,-5.290834905962246e-05,-3.300003300021892e-05,0.002173547797326756,0.489501312335958,5.290834905962246e-05,3.300003300021892e-05,0.0015349650972193425,0.0010502331873687,-7.141279649945282e-05,2.2030842854792176e-05,-0.00013757445371538024,3.504888531763116e-05,session_date,17
30min,8498,8498,8319,753,-9.513257698044167e-05,-0.0001138978108841,0.003105513186905619,0.47649957927635533,9.513257698044167e-05,0.0001138978108841,0.0021603404107242764,0.0014649698811526,-7.628951507609606e-05,2.6472534745192174e-05,-0.00022370386510045087,4.990346912465942e-05,session_date,17
5min,8498,8498,8458,753,-3.882683485780836e-05,-2.2384571695344135e-05,0.001318029171337728,0.4882951052258217,3.882683485780836e-05,2.2384571695344135e-05,0.0009062849397347284,0.0006434558797954,-3.740032802639655e-05,1.1376814699926019e-05,-9.046702118574687e-05,1.4737048166480405e-05,session_date,17
60min,8498,8498,8195,753,-0.0001668692701796951,-0.0001682651859329,0.004148552808162819,0.47516778523489933,0.0001668692701796951,0.0001682651859329,0.002918515546723027,0.0019784070996551,-0.00013194738669441817,3.29384380591824e-05,-0.0003342498208600125,6.997736308609333e-06,session_date,17
session_close,8498,8498,8458,753,-0.000315969458531339,-0.00032961813560404996,0.008809791729339147,0.4724521163395602,0.000315969458531339,0.00032961813560404996,0.0057915143994598395,0.0038961287077415,-0.00021812885167121003,8.552025584268597e-05,-0.0005983722779138845,-4.726036270493596e-05,session_date,17
