horizon,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
15min,8498,8498,8382,753,-5.290834905962383e-05,-3.300003300021892e-05,0.002173547797326792,0.489501312335958,5.290834905962383e-05,3.300003300021892e-05,0.0015349650972193891,0.0010502331873687432,-7.141279649945294e-05,2.2030842854792176e-05,-0.000137574453715384,3.504888531763138e-05,session_date,17
30min,8498,8498,8319,753,-9.513257698044368e-05,-0.00011389781088411155,0.0031055131869056527,0.47649957927635533,9.513257698044368e-05,0.00011389781088411155,0.0021603404107243245,0.0014649698811526335,-7.628951507609532e-05,2.6472534745192178e-05,-0.00022370386510045412,4.990346912465892e-05,session_date,17
5min,8498,8498,8458,753,-3.882683485780871e-05,-2.2384571695344135e-05,0.0013180291713377622,0.4882951052258217,3.882683485780871e-05,2.2384571695344135e-05,0.0009062849397347724,0.0006434558797954182,-3.740032802639643e-05,1.1376814699926019e-05,-9.046702118574924e-05,1.473704816648191e-05,session_date,17
60min,8498,8498,8195,753,-0.00016686927017969791,-0.0001682651859329365,0.004148552808162854,0.47516778523489933,0.00016686927017969791,0.0001682651859329365,0.0029185155467230752,0.001978407099655133,-0.00013194738669441828,3.2938438059182396e-05,-0.00033424982086001706,6.997736308608238e-06,session_date,17
session_close,8498,8498,8458,753,-0.00031596945853134113,-0.000329618135604115,0.00880979172933918,0.4724521163395602,0.00031596945853134113,0.000329618135604115,0.005791514399459888,0.0038961287077415863,-0.00021812885167120914,8.552025584268597e-05,-0.0005983722779138878,-4.7260362704936985e-05,session_date,17
