event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-02,60min,QQQ,long_reversal,2024,-0.00026569111419008623,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,SPY,long_reversal,2022,0.0001303757218239041,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,SPY,long_reversal,2023,-0.00021559513563831965,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,60min,SPY,long_reversal,2024,-0.0002656111840264276,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,QQQ,long_reversal,2022,-0.0006123036480624937,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,QQQ,long_reversal,2023,0.0004760037024246782,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,QQQ,long_reversal,2024,-0.0003662710682875049,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,SPY,long_reversal,2022,-0.00037213594718991494,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,SPY,long_reversal,2023,0.00026565819144873024,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-02,session_close,SPY,long_reversal,2024,-7.85376637020899e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,QQQ,short_reversal,2022,-7.638124146926323e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,QQQ,short_reversal,2023,1.8662146932368062e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,QQQ,short_reversal,2024,-6.605514273259776e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,SPY,short_reversal,2022,0.00010394353123746049,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,SPY,short_reversal,2023,4.012210415057287e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,15min,SPY,short_reversal,2024,-2.8903101347678477e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,QQQ,short_reversal,2022,9.854220937580554e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,QQQ,short_reversal,2023,0.0002030454380927175,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,QQQ,short_reversal,2024,-0.00021031269051984244,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,SPY,short_reversal,2022,-1.5343373933379573e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,SPY,short_reversal,2023,9.562900500636327e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,30min,SPY,short_reversal,2024,-0.00016971400847109495,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,QQQ,short_reversal,2022,-0.00013826140332114028,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,QQQ,short_reversal,2023,7.873795795251762e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,QQQ,short_reversal,2024,2.9849549015180543e-07,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,SPY,short_reversal,2022,1.795285811777816e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,SPY,short_reversal,2023,4.522754450168156e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,5min,SPY,short_reversal,2024,2.5954496564810198e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,QQQ,short_reversal,2022,7.334097807209596e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,QQQ,short_reversal,2023,-0.00024318361422690112,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,QQQ,short_reversal,2024,-0.0004340378725159662,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,SPY,short_reversal,2022,-9.652729816473027e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,SPY,short_reversal,2023,-2.7652598571850782e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,60min,SPY,short_reversal,2024,-0.00025547084472928093,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,QQQ,short_reversal,2022,-0.0005636072154732016,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,QQQ,short_reversal,2023,-0.001237585706621691,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,QQQ,short_reversal,2024,-0.0005362400889088002,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,SPY,short_reversal,2022,-0.0005200441807267876,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,SPY,short_reversal,2023,-0.0005821889666972035,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-03,session_close,SPY,short_reversal,2024,-0.00016199317766151452,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,QQQ,short_reversal,2022,-6.432829412016472e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,QQQ,short_reversal,2023,1.4619514575849413e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-04,15min,QQQ,short_reversal,2024,-6.824767129666006e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
