symbol,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
QQQ,20825,20825,20513,753,-0.00015487785144143357,-0.0001252443799708569,0.005335664343722213,0.47745332228343,0.00015487785144143357,0.0001252443799708569,0.0030915387092744478,0.0016780283167276977,-0.00011532251150620315,2.3875845602816526e-06,-0.0002930761643042211,-8.499830264500117e-06,session_date,17
SPY,21665,21665,21299,752,-0.00011391319037081574,-6.345122824502614e-05,0.004044258770286616,0.4832621249823935,0.00011391319037081574,6.345122824502614e-05,0.0022530840647291355,0.001190737622916771,-9.907500321577594e-05,3.5566304483314326e-05,-0.00021145992553940718,-9.601357074148356e-06,session_date,17
