year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
2022,14095,14095,13941,251,-0.00013502428006200893,-0.0001564210855624637,0.006456113939493428,0.47787102790330677,0.00013502428006200893,0.0001564210855624637,0.003832618108648239,0.002112119317042138,-0.00020239322097616636,-6.557811413254733e-05,-0.0004131939901707742,0.00013730163401348607,session_date,17
2023,14190,14190,13935,250,-0.00010196100754883591,-8.749234441984832e-05,0.003792663907796068,0.4810907786149982,0.00010196100754883591,8.749234441984832e-05,0.00230121919631473,0.001284749141654551,3.326143933379413e-05,4.8522490174174315e-05,-0.00025848092987263164,3.6915391183292906e-05,session_date,17
2024,14205,14205,13936,252,-0.00016504350457725576,-5.474409887507026e-05,0.0032899954293845184,0.4822761194029851,0.00016504350457725576,5.474409887507026e-05,0.0018590092196255565,0.001038878827378853,-0.00015196207200826947,4.7741356427377646e-05,-0.00030757579420022906,-2.955926711424802e-05,session_date,17
