hypothesis_id,symbol,session_date,year,event_type,event_side,orientation,event_time,horizon,event_price,availability_status,future_close,horizon_close,raw_return,future_return,reversal_return,continuation_return,maximum_favorable_excursion,MFE,maximum_adverse_excursion,MAE,time_to_mfe,time_to_MFE,time_to_mae,time_to_MAE,path_high,path_low,returned_to_or_center,return_to_OR_midpoint,reached_opposite_or_extreme,reached_opposite_OR_extreme,broke_same_or_extreme,rebreak_same_extreme,bars_in_path
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-03,high,short_reversal,2022-01-03T19:40:00+00:00,15min,401.75,available,401.3411,401.3411,-0.0010177971375233685,-0.0010177971375233685,0.0010177971375233685,-0.0010177971375233685,0.00109640925967458,0.00109640925967458,0.0004727073692590844,0.0004727073692590844,2022-01-03T19:55:00+00:00,2022-01-03T19:55:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,401.31,False,False,False,False,True,True,3
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-03,high,short_reversal,2022-01-03T19:40:00+00:00,30min,401.75,available,401.81,401.81,0.00014934660858734183,0.00014934660858734183,-0.00014934660858734183,0.00014934660858734183,0.001221153366894212,0.001221153366894212,0.0004727073692590844,0.0004727073692590844,2022-01-03T20:00:00+00:00,2022-01-03T20:00:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,401.26,False,False,False,False,True,True,6
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-03,high,short_reversal,2022-01-03T19:40:00+00:00,5min,401.75,available,401.8178,401.8178,0.0001687616677037429,0.0001687616677037429,-0.0001687616677037429,0.0001687616677037429,0.0001742680740888236,0.0001742680740888236,0.0004727073692590844,0.0004727073692590844,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,401.68,False,False,False,False,True,True,1
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-03,high,short_reversal,2022-01-03T19:40:00+00:00,60min,401.75,available,401.1,401.1,-0.0016179215930304247,-0.0016179215930304247,0.0016179215930304247,-0.0016179215930304247,0.002395269343047346,0.002395269343047346,0.0004727073692590844,0.0004727073692590844,2022-01-03T20:40:00+00:00,2022-01-03T20:40:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,400.79,False,False,False,False,True,True,12
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-03,high,short_reversal,2022-01-03T19:40:00+00:00,session_close,401.75,available,401.78,401.78,7.46733042935599e-05,7.46733042935599e-05,-7.46733042935599e-05,7.46733042935599e-05,0.002395269343047346,0.002395269343047346,0.0004727073692590844,0.0004727073692590844,2022-01-03T20:40:00+00:00,2022-01-03T20:40:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,400.79,False,False,False,False,True,True,15
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-04,high,short_reversal,2022-01-03T19:40:00+00:00,15min,401.75,available,401.3411,401.3411,-0.0010177971375233685,-0.0010177971375233685,0.0010177971375233685,-0.0010177971375233685,0.00109640925967458,0.00109640925967458,0.0004727073692590844,0.0004727073692590844,2022-01-03T19:55:00+00:00,2022-01-03T19:55:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,401.31,False,False,False,False,True,True,3
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-04,high,short_reversal,2022-01-03T19:40:00+00:00,30min,401.75,available,401.81,401.81,0.00014934660858734183,0.00014934660858734183,-0.00014934660858734183,0.00014934660858734183,0.001221153366894212,0.001221153366894212,0.0004727073692590844,0.0004727073692590844,2022-01-03T20:00:00+00:00,2022-01-03T20:00:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,401.26,False,False,False,False,True,True,6
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-04,high,short_reversal,2022-01-03T19:40:00+00:00,5min,401.75,available,401.8178,401.8178,0.0001687616677037429,0.0001687616677037429,-0.0001687616677037429,0.0001687616677037429,0.0001742680740888236,0.0001742680740888236,0.0004727073692590844,0.0004727073692590844,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,401.68,False,False,False,False,True,True,1
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-04,high,short_reversal,2022-01-03T19:40:00+00:00,60min,401.75,available,401.1,401.1,-0.0016179215930304247,-0.0016179215930304247,0.0016179215930304247,-0.0016179215930304247,0.002395269343047346,0.002395269343047346,0.0004727073692590844,0.0004727073692590844,2022-01-03T20:40:00+00:00,2022-01-03T20:40:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,400.79,False,False,False,False,True,True,12
HYP-FCR-EVENT-01,QQQ,2022-01-03,2022,EVENT-04,high,short_reversal,2022-01-03T19:40:00+00:00,session_close,401.75,available,401.78,401.78,7.46733042935599e-05,7.46733042935599e-05,-7.46733042935599e-05,7.46733042935599e-05,0.002395269343047346,0.002395269343047346,0.0004727073692590844,0.0004727073692590844,2022-01-03T20:40:00+00:00,2022-01-03T20:40:00+00:00,2022-01-03T19:45:00+00:00,2022-01-03T19:45:00+00:00,401.94,400.79,False,False,False,False,True,True,15
