event_type,horizon,symbol,orientation,year,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-02,session_close,QQQ,long_reversal,2022,-0.0027444951980352726,0.0016742743824675003,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2023,-0.0006292904482396749,0.0016160106815937493,session_date,17
EVENT-02,session_close,QQQ,long_reversal,2024,-0.0016247233373023905,0.0008468196893544101,session_date,17
EVENT-02,session_close,SPY,long_reversal,2022,-0.0020277642725038464,0.0012553033226875095,session_date,17
EVENT-02,session_close,SPY,long_reversal,2023,-0.0006354008453683467,0.001209490478493228,session_date,17
EVENT-02,session_close,SPY,long_reversal,2024,-0.0009020842246723294,0.0006285628970437793,session_date,17
EVENT-03,15min,QQQ,short_reversal,2022,-0.0005610325559677663,0.00044975006535593313,session_date,17
EVENT-03,15min,QQQ,short_reversal,2023,-0.0002949154836789382,0.00031421608056739946,session_date,17
EVENT-03,15min,QQQ,short_reversal,2024,-0.00033087540570962085,0.00017721469839780552,session_date,17
EVENT-03,15min,SPY,short_reversal,2022,-0.0002754142660549501,0.000496988425770056,session_date,17
EVENT-03,15min,SPY,short_reversal,2023,-0.00016297342120954802,0.00024334694718687215,session_date,17
EVENT-03,15min,SPY,short_reversal,2024,-0.0001799328772823727,0.0001116765421131417,session_date,17
EVENT-03,30min,QQQ,short_reversal,2022,-0.0006136208490131863,0.0008243743217227573,session_date,17
EVENT-03,30min,QQQ,short_reversal,2023,-0.00029256258857596407,0.000648652318220008,session_date,17
EVENT-03,30min,QQQ,short_reversal,2024,-0.0005884207975101749,0.00010066172699910008,session_date,17
EVENT-03,30min,SPY,short_reversal,2022,-0.0005177619624526412,0.0005218048875976055,session_date,17
EVENT-03,30min,SPY,short_reversal,2023,-0.00021292892523365207,0.00040334035971556216,session_date,17
EVENT-03,30min,SPY,short_reversal,2024,-0.00039197624233957526,4.0804826930462586e-05,session_date,17
EVENT-03,5min,QQQ,short_reversal,2022,-0.0004529060120917609,0.0001789297060248225,session_date,17
EVENT-03,5min,QQQ,short_reversal,2023,-0.00010935353408098741,0.00028096625183045125,session_date,17
EVENT-03,5min,QQQ,short_reversal,2024,-0.00014937265681209318,0.00017368623721689515,session_date,17
EVENT-03,5min,SPY,short_reversal,2022,-0.00022484386649765964,0.0002506177084462833,session_date,17
EVENT-03,5min,SPY,short_reversal,2023,-5.9173883349715685e-05,0.0001742043002597725,session_date,17
EVENT-03,5min,SPY,short_reversal,2024,-7.433329542924453e-05,0.00013271984941492382,session_date,17
EVENT-03,60min,QQQ,short_reversal,2022,-0.0009633799605200697,0.0009723749403170512,session_date,17
EVENT-03,60min,QQQ,short_reversal,2023,-0.0009224012540075467,0.00038659107694074207,session_date,17
EVENT-03,60min,QQQ,short_reversal,2024,-0.0009096602415804109,0.00010959001265931178,session_date,17
EVENT-03,60min,SPY,short_reversal,2022,-0.0007649503645254117,0.00065930696828365,session_date,17
EVENT-03,60min,SPY,short_reversal,2023,-0.0004375105153625335,0.00040307661075522546,session_date,17
EVENT-03,60min,SPY,short_reversal,2024,-0.0005682170800633369,5.695467388331646e-05,session_date,17
EVENT-03,session_close,QQQ,short_reversal,2022,-0.002561500677517235,0.0015004548962665395,session_date,17
EVENT-03,session_close,QQQ,short_reversal,2023,-0.002382586719100402,0.00013925751677970014,session_date,17
EVENT-03,session_close,QQQ,short_reversal,2024,-0.0014371748444204418,0.00028558085618114076,session_date,17
EVENT-03,session_close,SPY,short_reversal,2022,-0.001965773933970297,0.0009612356935399311,session_date,17
EVENT-03,session_close,SPY,short_reversal,2023,-0.001425366700914886,0.00025602762101178055,session_date,17
EVENT-03,session_close,SPY,short_reversal,2024,-0.0008490276603582213,0.0005440037259467662,session_date,17
EVENT-04,15min,QQQ,short_reversal,2022,-0.0005535435561348824,0.0004584543112913688,session_date,17
