symbol,hypothesis_id,session_date,timestamp,diagnostic,expired_sweep_time,scenario,equity_before_session
QQQ,HYP-FCR-02,2022-01-19,2022-01-19T15:20:00+00:00,high_sweep_window_expired,2022-01-19T15:00:00+00:00,baseline,987.6070230000003
QQQ,HYP-FCR-02,2022-01-24,2022-01-24T15:40:00+00:00,low_sweep_window_expired,2022-01-24T15:20:00+00:00,baseline,979.9798948200005
QQQ,HYP-FCR-02,2022-02-02,2022-02-02T15:55:00+00:00,low_sweep_window_expired,2022-02-02T15:35:00+00:00,baseline,999.6659194100006
QQQ,HYP-FCR-02,2022-02-03,2022-02-03T16:00:00+00:00,high_sweep_window_expired,2022-02-03T15:40:00+00:00,baseline,1001.9687524100007
QQQ,HYP-FCR-02,2022-02-10,2022-02-10T16:30:00+00:00,high_sweep_window_expired,2022-02-10T16:10:00+00:00,baseline,1015.3941623300007
QQQ,HYP-FCR-02,2022-03-10,2022-03-10T15:40:00+00:00,high_sweep_window_expired,2022-03-10T15:20:00+00:00,baseline,1038.4641788600009
QQQ,HYP-FCR-02,2022-03-24,2022-03-24T14:25:00+00:00,high_sweep_window_expired,2022-03-24T14:05:00+00:00,baseline,1062.0910033300015
QQQ,HYP-FCR-02,2022-04-01,2022-04-01T14:20:00+00:00,low_sweep_window_expired,2022-04-01T14:00:00+00:00,baseline,1079.9318070400022
QQQ,HYP-FCR-02,2022-04-04,2022-04-04T14:30:00+00:00,high_sweep_window_expired,2022-04-04T14:10:00+00:00,baseline,1077.5474310400023
QQQ,HYP-FCR-02,2022-04-07,2022-04-07T14:20:00+00:00,high_sweep_window_expired,2022-04-07T14:00:00+00:00,baseline,1073.4953970400024
QQQ,HYP-FCR-02,2022-05-19,2022-05-19T14:45:00+00:00,high_sweep_window_expired,2022-05-19T14:25:00+00:00,baseline,1057.4054331200036
QQQ,HYP-FCR-02,2022-05-23,2022-05-23T14:45:00+00:00,low_sweep_window_expired,2022-05-23T14:25:00+00:00,baseline,1052.2907333200037
QQQ,HYP-FCR-02,2022-06-03,2022-06-03T14:20:00+00:00,high_sweep_window_expired,2022-06-03T14:00:00+00:00,baseline,1045.4752403200039
QQQ,HYP-FCR-02,2022-06-21,2022-06-21T16:10:00+00:00,high_sweep_window_expired,2022-06-21T15:50:00+00:00,baseline,1047.2691645100044
QQQ,HYP-FCR-02,2022-06-21,2022-06-21T17:55:00+00:00,high_sweep_window_expired,2022-06-21T17:35:00+00:00,baseline,1047.2691645100044
QQQ,HYP-FCR-02,2022-06-21,2022-06-21T19:40:00+00:00,high_sweep_window_expired,2022-06-21T19:20:00+00:00,baseline,1047.2691645100044
QQQ,HYP-FCR-02,2022-07-06,2022-07-06T15:50:00+00:00,low_sweep_window_expired,2022-07-06T15:30:00+00:00,baseline,1050.096637450005
QQQ,HYP-FCR-02,2022-07-07,2022-07-07T14:35:00+00:00,high_sweep_window_expired,2022-07-07T14:15:00+00:00,baseline,1045.469105950005
QQQ,HYP-FCR-02,2022-07-11,2022-07-11T14:20:00+00:00,low_sweep_window_expired,2022-07-11T14:00:00+00:00,baseline,1043.4630149500051
QQQ,HYP-FCR-02,2022-07-12,2022-07-12T15:10:00+00:00,low_sweep_window_expired,2022-07-12T14:50:00+00:00,baseline,1043.4630149500051
QQQ,HYP-FCR-02,2022-07-14,2022-07-14T15:05:00+00:00,low_sweep_window_expired,2022-07-14T14:45:00+00:00,baseline,1043.4630149500051
QQQ,HYP-FCR-02,2022-07-15,2022-07-15T14:20:00+00:00,high_sweep_window_expired,2022-07-15T14:00:00+00:00,baseline,1041.1927229500054
QQQ,HYP-FCR-02,2022-07-15,2022-07-15T16:05:00+00:00,high_sweep_window_expired,2022-07-15T15:45:00+00:00,baseline,1041.1927229500054
QQQ,HYP-FCR-02,2022-07-15,2022-07-15T18:20:00+00:00,high_sweep_window_expired,2022-07-15T18:00:00+00:00,baseline,1041.1927229500054
QQQ,HYP-FCR-02,2022-07-28,2022-07-28T14:50:00+00:00,low_sweep_window_expired,2022-07-28T14:30:00+00:00,baseline,1028.4062003500057
QQQ,HYP-FCR-02,2022-08-02,2022-08-02T14:30:00+00:00,low_sweep_window_expired,2022-08-02T14:10:00+00:00,baseline,1019.0581193500061
QQQ,HYP-FCR-02,2022-08-08,2022-08-08T14:20:00+00:00,high_sweep_window_expired,2022-08-08T14:00:00+00:00,baseline,1023.9162507700058
QQQ,HYP-FCR-02,2022-08-09,2022-08-09T14:45:00+00:00,low_sweep_window_expired,2022-08-09T14:25:00+00:00,baseline,1020.3031407700058
QQQ,HYP-FCR-02,2022-08-10,2022-08-10T14:40:00+00:00,low_sweep_window_expired,2022-08-10T14:20:00+00:00,baseline,1015.2534028000059
QQQ,HYP-FCR-02,2022-08-18,2022-08-18T14:20:00+00:00,low_sweep_window_expired,2022-08-18T14:00:00+00:00,baseline,1019.7316828000062
QQQ,HYP-FCR-02,2022-08-23,2022-08-23T14:55:00+00:00,high_sweep_window_expired,2022-08-23T14:35:00+00:00,baseline,1019.7316828000062
QQQ,HYP-FCR-02,2022-08-26,2022-08-26T14:30:00+00:00,high_sweep_window_expired,2022-08-26T14:10:00+00:00,baseline,1017.2010268000063
QQQ,HYP-FCR-02,2022-09-07,2022-09-07T14:45:00+00:00,low_sweep_window_expired,2022-09-07T14:25:00+00:00,baseline,998.4837808000067
QQQ,HYP-FCR-02,2022-09-12,2022-09-12T14:55:00+00:00,high_sweep_window_expired,2022-09-12T14:35:00+00:00,baseline,992.0058628700069
QQQ,HYP-FCR-02,2022-09-12,2022-09-12T15:50:00+00:00,high_sweep_window_expired,2022-09-12T15:30:00+00:00,baseline,992.0058628700069
