scenario,entry_hour,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,10,430,-0.05932598864007771,0.03549429864710474,1.0731437966568584,44.05106280001422,0.043870844137712875,0.3767441860465116,1.667766547315482,-1.1033147603744085,-1.061544839590402,12,40270.0,0.004999999999999998,0.002190276811592031,0,7.372093023255814,28.083279069767226,0.3102718093190136,133,259,38
baseline,11,253,-0.17336124433788797,-0.07261542221277097,0.8232326851802463,-64.38928044999221,0.05258296655813962,0.33201581027667987,1.6794935602657952,-1.094306827691198,-1.0742237524949954,14,21765.0,0.005,0.0020181746627893874,0,6.5019762845849804,27.86181818181812,0.3848429767784458,72,162,19
baseline,12,116,-0.29844954897152753,-0.17021039796686746,0.8262329922554897,-26.749339849994634,0.03244309442308686,0.31896551724137934,1.557199561669575,-1.1675510311705253,-1.0818346723646335,20,9085.0,0.004999999999999999,0.0018531551308652288,0,6.767241379310345,29.342327586206757,0.4807774934963961,28,78,10
baseline,13,83,-0.052547738229154976,0.06283550427254764,0.9830533761202296,-1.5471578499968555,0.013321702761441583,0.40963855421686746,1.417538275344424,-1.0726074211169443,-1.0241689189188925,7,5430.0,0.005,0.0018802872724759986,0,6.626506024096385,31.54686746988006,0.5778322296413994,21,43,19
baseline,14,55,-0.31314745283919154,-0.20116400754835348,0.48635148879425977,-39.401300649998106,0.021542505073422567,0.32727272727272727,1.240548441385605,-1.0689995094890925,-1.0671917763157812,7,2793.0,0.005,0.0019534814764487927,0,5.7272727272727275,31.246181818181846,0.5765341059058046,9,32,14
baseline,15,36,-0.05102279666195549,0.06870882795161398,1.216652451264839,6.018708760001891,0.004487944584622981,0.5,0.9221440435034352,-1.0241896368273462,-0.00987412232494269,5,726.0,0.005000000000000001,0.0017429939670841,0,6.944444444444445,24.38194444444453,0.47373854093988854,3,15,18
severe,10,430,-0.29350961715833424,-0.009048755296786861,0.8354045173672774,-105.58358935995976,0.09152138877946163,0.3697674418604651,1.4730327751005448,-1.3299680687050568,-1.1874078947368205,13,40270.0,0.004999999999999998,0.002176519868599918,0,7.372093023255814,28.083279069767226,0.3102718093190136,133,259,38
severe,11,253,-0.42225787486227867,-0.12002040848692767,0.6401493967056501,-140.26928475997704,0.08113846893854189,0.33201581027667987,1.4254328250046702,-1.3406366842636022,-1.2151629370629062,14,21765.0,0.005,0.002012700896078867,0,6.5019762845849804,27.86181818181812,0.3848429767784458,72,162,19
severe,12,116,-0.6144846084714789,-0.2297671554574985,0.6057296750596521,-67.41015649998769,0.04750974491424631,0.3017241379310345,1.3495280020784326,-1.4631320327831692,-1.2535287597674172,20,9085.0,0.004999999999999999,0.0018408686617746282,0,6.767241379310345,29.342327586206757,0.4807774934963961,28,78,10
severe,13,83,-0.3400619611619767,0.006087766343131201,0.7135315438466748,-28.88040966999161,0.02270461024038991,0.40963855421686746,1.1623186626440294,-1.3825301491090014,-1.107636363636347,7,5430.0,0.005,0.0018708894109827727,0,6.626506024096385,31.54686746988006,0.5778322296413994,21,43,19
