scenario,direction,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,long,494,-0.14960593805754735,-0.04336248720163093,0.8880321009330686,-73.16036332998497,0.060972148368315535,0.354251012145749,1.5900869106371613,-1.1039828926706323,-1.0670460695277288,17,39705.0,0.004999999999999999,0.0019646972030340883,0,6.9534412955465585,26.227024291497933,0.3584269707893476,133,304,57
baseline,short,479,-0.1117051713402791,-0.01003684058957586,0.9866377091660892,-8.856943909980771,0.0648674856965376,0.37160751565762007,1.5602897766147135,-1.100459658835258,-1.0619595041322174,19,40364.0,0.004999999999999999,0.002135857835463537,0,6.847599164926931,30.870751565761886,0.4305082571328983,133,285,61
severe,long,494,-0.4119425627506982,-0.09321221018294891,0.6656417254164815,-239.26428177995453,0.13074247408870238,0.3441295546558704,1.3822004301967845,-1.353313886210797,-1.2106289231211997,19,39705.0,0.004999999999999999,0.0019727880607376892,0,6.9534412955465585,26.227024291497933,0.3584269707893476,133,304,57
severe,short,479,-0.36314367385524565,-0.058138681603136066,0.764545061985829,-165.30939072995255,0.12953490981565086,0.36116910229645094,1.361299552491984,-1.3380739946332545,-1.1920839879153742,19,40364.0,0.004999999999999999,0.002096702908333178,0,6.847599164926931,30.870751565761886,0.4305082571328983,133,285,61
stress,long,494,-0.28077425040412274,-0.06828734869228992,0.7681848180576164,-158.56589615996918,0.09639372642828387,0.3481781376518219,1.4911721217927634,-1.2272797659875525,-1.1393629255920181,19,39705.0,0.004999999999999999,0.0019613647175261086,0,6.9534412955465585,26.227024291497933,0.3584269707893476,133,304,57
stress,short,479,-0.2374244225977624,-0.03408776109635596,0.8659958376652731,-91.43974871996569,0.0978809376344254,0.3695198329853862,1.448919136451632,-1.2257780979346593,-1.1276156424580264,19,40364.0,0.004999999999999999,0.0021209350030358906,0,6.847599164926931,30.870751565761886,0.4305082571328983,133,285,61
