scenario,year,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,2022,323,-0.016225974394211966,0.049187194880346397,1.06117718537547,36.730475450013216,0.07138065964788802,0.3715170278637771,1.7410540162923587,-1.055012175785288,-1.045373964497059,17,28165.0,0.004999999999999999,0.0028499610590438486,0,6.842105263157895,36.827027863777005,0.4098159851646006,101,191,31
baseline,2023,331,-0.14290371782486,-0.028610932862878358,0.8974272591288334,-41.96712526998777,0.04541974673081504,0.3716012084592145,1.5202813283518315,-1.1264217980158844,-1.079105147058806,12,25389.0,0.004999999999999999,0.0018475480408977393,0,6.7975830815709966,23.065196374622285,0.3953337880135949,90,199,42
baseline,2024,319,-0.2347021634578776,-0.10233843413401775,0.7496522817429189,-76.78065741999117,0.04339370670866826,0.3448275862068966,1.4552336750596722,-1.1241420784671143,-1.0863171171823967,14,26515.0,0.005,0.001446898112468838,0,7.068965517241379,25.747742946708385,0.37633332820040777,75,199,45
severe,2022,323,-0.18329048623316718,0.012949021590507816,0.8458046930482993,-103.4530577399614,0.10110889289277135,0.3715170278637771,1.5757269234057993,-1.223103733310389,-1.1411601769911188,17,28165.0,0.004999999999999999,0.0028785552814649027,0,6.842105263157895,36.827027863777005,0.4098159851646006,101,191,31
severe,2023,331,-0.42929984052875797,-0.0864214856428132,0.6406310304737528,-167.42560565996442,0.09772085996475245,0.3504531722054381,1.335088561048079,-1.3812489316120744,-1.2382822429905962,12,25389.0,0.004999999999999999,0.0019280455715972875,0,6.7975830815709966,23.065196374622285,0.3953337880135949,90,199,42
severe,2024,319,-0.5521767131886385,-0.15508552521705896,0.5239927412754681,-133.69500910998133,0.07022422778939583,0.335423197492163,1.1824429142457336,-1.4276686949597603,-1.2687795620437838,16,26515.0,0.005,0.0012881553447778842,0,7.068965517241379,25.747742946708385,0.37633332820040777,75,199,45
stress,2022,323,-0.09975823031368954,0.031068108235427074,0.9376956861739735,-39.714937139973856,0.08344021868154788,0.3715170278637771,1.6583904698490788,-1.1390579545478383,-1.0945286549707092,17,28165.0,0.004999999999999999,0.0028650862973620024,0,6.842105263157895,36.827027863777005,0.4098159851646006,101,191,31
stress,2023,331,-0.286101779176809,-0.05751620925284576,0.764967569793618,-104.44153979997523,0.0694526427185418,0.36555891238670696,1.4110781987307635,-1.2640007188283156,-1.1584674698794415,12,25389.0,0.004999999999999999,0.0019240030580985272,0,6.7975830815709966,23.065196374622285,0.3953337880135949,90,199,42
stress,2024,319,-0.393439438323258,-0.12871197967553835,0.6280487123981543,-105.84916793998582,0.056806997198417856,0.3385579937304075,1.3258608673331695,-1.273460447853562,-1.1788641975308427,16,26515.0,0.005,0.0013246838577854227,0,7.068965517241379,25.747742946708385,0.37633332820040777,75,199,45
