scenario,symbol,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,QQQ,490,-0.0990051008243125,-0.015711322278749284,0.9463864875889019,-40.75685116997995,0.1194983907331071,0.373469387755102,1.5353368882441303,-1.073221986816251,-1.0549704856418638,11,42457.0,0.005,0.0024104686543937994,0,6.816326530612245,30.483653061224405,0.40224652920094517,130,290,70
baseline,SPY,483,-0.1633532320258984,-0.03836473582489724,0.9257957093028133,-41.26045606998578,0.11872737273779069,0.35196687370600416,1.6178243473543903,-1.1307659748203047,-1.077045631067963,19,37612.0,0.005,0.0016822084489294248,0,6.987577639751553,26.513975155279436,0.38545668618661055,136,299,48
severe,QQQ,490,-0.30970760254072593,-0.05982626690403631,0.7259074158659933,-213.84652649994854,0.263401953648647,0.363265306122449,1.376261887505335,-1.271574811605466,-1.167051742345219,13,42457.0,0.005,0.0023218544955384106,0,6.816326530612245,30.483653061224405,0.40224652920094517,130,290,70
severe,SPY,483,-0.46726443174027305,-0.09229894313726948,0.70081050525657,-190.72714600995857,0.23997932193877144,0.3416149068322981,1.366692604476466,-1.4188459127961282,-1.22941510791366,19,37612.0,0.005,0.0017415513297767905,0,6.987577639751553,26.513975155279436,0.38545668618661055,136,299,48
stress,QQQ,490,-0.20435635168251925,-0.0377687945913928,0.8284175068010449,-132.2616874199629,0.1939263369491343,0.37142857142857144,1.4444933189396876,-1.1786766115956413,-1.1134687114954724,13,42457.0,0.005,0.002370434286513157,0,6.816326530612245,30.483653061224405,0.40224652920094517,130,290,70
stress,SPY,483,-0.31530883188308567,-0.06533183948108336,0.8022934816469103,-117.74395745997202,0.1803404114972938,0.34575569358178054,1.497260527265096,-1.273217322318992,-1.155044986683906,19,37612.0,0.005,0.0017046153965230688,0,6.987577639751553,26.513975155279436,0.38545668618661055,136,299,48
