scenario,symbol,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,QQQ,518,-0.13334273871855967,-0.05730106583069612,0.9260296482984489,-63.052744889981696,0.13985460774984193,0.3552123552123552,1.5098386355128117,-1.0385684059597942,-1.0483797842897729,13,54776.0,0.005,0.002567298697104524,0,10.019305019305019,29.76511583011575,0.3840528541383653,121,303,94
baseline,SPY,507,-0.07029708038000244,0.047086328358755335,0.9879971352651099,-7.323317269983967,0.06281610071272917,0.378698224852071,1.6048662986160647,-1.0913490447204623,-1.0560196891191567,12,48687.0,0.005,0.001883440675937162,0,10.167652859960553,25.924082840236657,0.3799741504003657,152,290,65
severe,QQQ,518,-0.3260403470958734,-0.09791532843228272,0.72234711934875,-242.96779563994704,0.2863259535663371,0.3474903474903475,1.3604472689989087,-1.2241698467913196,-1.149414982335891,13,54776.0,0.005,0.002502649245521792,0,10.019305019305019,29.76511583011575,0.3840528541383653,121,303,94
severe,SPY,507,-0.35568197111177496,-0.003531744895501764,0.7467977462826446,-171.85216906995578,0.20229400844086484,0.3727810650887574,1.3434916004724888,-1.365568150449592,-1.1830497303774552,12,48687.0,0.005,0.0019124726160495386,0,10.167652859960553,25.924082840236657,0.3799741504003657,152,290,65
stress,QQQ,518,-0.22969154290721658,-0.07760819713148942,0.8218676943467312,-152.35311335996315,0.20691242770059895,0.3532818532818533,1.4277408000197997,-1.135094882476303,-1.1005572770719816,13,54776.0,0.005,0.0025176185752388645,0,10.019305019305019,29.76511583011575,0.3840528541383653,121,303,94
stress,SPY,507,-0.21298952574588872,0.021777291731626777,0.8475299833915656,-97.90848911996949,0.1370121965034123,0.3767258382642998,1.4705169785821621,-1.2305520014631603,-1.119285308056853,12,48687.0,0.005,0.0018816211001355964,0,10.167652859960553,25.924082840236657,0.3799741504003657,152,290,65
