scenario,direction,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,long,522,-0.1504096916861451,-0.05286802694001383,0.9556962894554542,-32.38206596998225,0.0557699723524606,0.3505747126436782,1.5429128943009802,-1.0645041850066288,-1.0549492821032143,14,54023.0,0.005000000000000001,0.0021968307335529656,0,10.277777777777779,25.827068965517185,0.3493507583083326,129,308,85
baseline,short,503,-0.052084094132619115,0.0433159571377248,0.9480690650998425,-37.99399618998341,0.07174171886206449,0.3836978131212724,1.5730133606816707,-1.0638383160008704,-1.0481026455026314,13,49440.0,0.004999999999999999,0.002262464224424724,0,9.900596421471173,29.980337972166947,0.4159546259636362,144,285,74
severe,long,522,-0.3916214513912277,-0.09899645715283391,0.7253651525121748,-216.27057466994978,0.11832185963542366,0.342911877394636,1.3476272328186913,-1.2992760125386782,-1.1736957817220623,14,54023.0,0.005000000000000001,0.002193345374977823,0,10.277777777777779,25.827068965517185,0.3493507583083326,129,308,85
severe,short,503,-0.28785936684515206,-0.0016592130341203759,0.7409014685365484,-198.5493900399531,0.1353067415271381,0.37773359840954274,1.3556586643924118,-1.2855220695133218,-1.1449726286707802,13,49440.0,0.004999999999999999,0.0022287666794810757,0,9.900596421471173,29.980337972166947,0.4159546259636362,144,285,74
stress,long,522,-0.27101557153868644,-0.07593224204642389,0.823378330890961,-133.39865607996532,0.08241250881083294,0.3486590038314176,1.4375183932784326,-1.1855837527054973,-1.1130529765689063,14,54023.0,0.005000000000000001,0.002174136902387686,0,10.277777777777779,25.827068965517185,0.3493507583083326,129,308,85
stress,short,503,-0.16997173048888556,0.020828372051802213,0.8425347434880134,-116.86294639996734,0.09955080276264147,0.3817097415506958,1.4610258423757376,-1.1768898462123827,-1.0962018181817939,13,49440.0,0.004999999999999999,0.002233019595817311,0,9.900596421471173,29.980337972166947,0.4159546259636362,144,285,74
