symbol,session_date,direction,opening_high,opening_low,last_sweep_time,signal_time,signal_close,fvg_size,stop,target,intended_quantity,actual_quantity,entry_time,entry_price,exit_time,exit_price,exit_reason,gross_pnl,commission,slippage_cost,net_pnl,intended_R,realized_R,intended_risk,realized_risk,risk_percent_intended,risk_percent_realized,quantity_rejection_reason,hypothesis_id,scenario,equity_before,equity_after,fvg_size_ticks,atr_14,fvg_size_normalized_by_atr,bars_since_last_sweep,confirmation_offset_bars,sweep_depth_ticks,stop_distance,minutes_between_last_touch_and_confirmation,original_body_stop,structural_stop_distance_from_original,structural_segment_bars,year,entry_hour
QQQ,2022-01-05,short,395.37,392.36,2022-01-05T15:00:00+00:00,2022-01-05T15:15:00+00:00,394.04,0.009999999999990905,395.9,390.3200000000001,2,2,2022-01-05T15:20:00+00:00,394.02000000000004,2022-01-05T19:05:00+00:00,390.3400000000001,TAKE_PROFIT,7.3599999999999,0.3137440000000001,0.07999999999992724,7.0462559999999,1.978494623655933,1.8941548387096945,5.0,3.7199999999999136,0.005,0.0037199999999999135,,HYP-FCR-04,stress,1000.0,1007.0462559999999,0.9999999999990905,1.275169999999997,0.007842091642675823,3,3,51.99999999999818,1.8599999999999568,15.0,394.86,1.0399999999999636,4,2022,10
SPY,2022-01-05,short,477.66,476.13,2022-01-05T15:30:00+00:00,2022-01-05T15:35:00+00:00,477.16,0.08999999999997499,477.74,476.00000000000006,2,2,2022-01-05T15:40:00+00:00,477.14000000000004,2022-01-05T17:49:00+00:00,476.02000000000004,TAKE_PROFIT,2.240000000000009,0.38126400000000005,0.07999999999992724,1.858736000000009,1.9310344827586816,1.602358620689707,5.0,1.1599999999999682,0.005,0.0011599999999999681,,HYP-FCR-04,stress,1000.0,1001.858736,8.999999999997499,0.6519857142857249,0.13803983435215816,1,1,6.999999999999318,0.5799999999999841,5.0,477.75,0.009999999999990905,2,2022,10
QQQ,2022-01-06,long,386.26,381.94,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,385.31,0.4000000000000341,381.78000000000003,392.36999999999995,1,1,2022-01-06T15:35:00+00:00,385.32,2022-01-06T20:59:00+00:00,384.01,FORCED_SESSION_CLOSE,-1.3100000000000023,0.153866,0.029999999999972715,-1.4638660000000023,-0.37110481586402616,-0.4146929178470294,5.03523128,3.5299999999999727,0.005,0.0035053007535335826,,HYP-FCR-04,stress,1007.0462559999999,1005.5823899999998,40.00000000000341,1.801538461538467,0.22203245089668777,2,2,14.999999999997726,3.5299999999999727,10.0,382.18,0.39999999999997726,3,2022,10
SPY,2022-01-06,long,470.395,466.81,2022-01-06T15:20:00+00:00,2022-01-06T15:30:00+00:00,468.785,0.11459999999999582,466.35,473.65500000000003,2,2,2022-01-06T15:35:00+00:00,468.81,2022-01-06T20:59:00+00:00,467.91,FORCED_SESSION_CLOSE,-1.7999999999999545,0.374688,0.08999999999991815,-2.1746879999999544,-0.369609856262824,-0.44654784394249536,5.00929368,4.8700000000000045,0.005,0.004860964749824774,,HYP-FCR-04,stress,1001.858736,999.6840480000001,11.459999999999582,1.2711846153846147,0.09015212944920828,2,2,44.99999999999886,2.4350000000000023,10.0,466.44,0.08999999999997499,3,2022,10
QQQ,2022-01-07,long,385.76,381.1,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,381.96,0.3199999999999932,380.14,385.59999999999997,2,2,2022-01-07T16:55:00+00:00,381.97999999999996,2022-01-07T17:37:00+00:00,380.12,STOP_LOSS,-3.7199999999999136,0.30484,0.07999999999992724,-4.024839999999914,-1.0219780219780021,-1.1057252747252553,5.027911949999999,3.6399999999999864,0.005,0.003619792904289013,,HYP-FCR-04,stress,1005.5823899999998,1001.5575499999999,31.999999999999318,1.0049928571428464,0.31841022324252144,1,1,95.00000000000455,1.8199999999999932,5.0,380.26,0.12000000000000455,2,2022,11
SPY,2022-01-07,long,469.2,466.73,2022-01-07T16:45:00+00:00,2022-01-07T16:50:00+00:00,468.025,0.5683999999999969,466.46000000000004,471.15499999999986,2,2,2022-01-07T16:55:00+00:00,468.03999999999996,2022-01-07T19:23:00+00:00,466.44000000000005,STOP_LOSS,-3.199999999999818,0.373792,0.06999999999993634,-3.573791999999818,-1.0223642172523766,-1.1417865814696335,4.998420240000001,3.1299999999998818,0.005,0.003130989242312969,,HYP-FCR-04,stress,999.6840480000001,996.1102560000003,56.83999999999969,0.7352928571428582,0.7730253251862664,1,1,25.99999999999909,1.5649999999999409,5.0,466.42,0.040000000000020464,2,2022,11
QQQ,2022-01-10,long,375.71,371.47,2022-01-10T16:10:00+00:00,2022-01-10T16:15:00+00:00,372.62,0.21299999999996544,370.98,375.9,2,2,2022-01-10T16:20:00+00:00,372.59999999999997,2022-01-10T17:19:00+00:00,370.96000000000004,STOP_LOSS,-3.279999999999859,0.29742399999999997,0.08000000000004093,-3.577423999999859,-0.9999999999999654,-1.090678048780454,5.007787749999999,3.2799999999999727,0.005,0.003274899180780948,,HYP-FCR-04,stress,1001.5575499999999,997.980126,21.299999999996544,0.9975857142857153,0.21351548739095194,1,1,48.00000000000182,1.6399999999999864,5.0,370.61,0.37000000000000455,2,2022,11
SPY,2022-01-10,long,463.02,459.01,2022-01-10T16:15:00+00:00,2022-01-10T16:20:00+00:00,459.8,0.060000000000002274,458.54,462.32,2,2,2022-01-10T16:25:00+00:00,459.82,2022-01-10T16:41:00+00:00,458.52000000000004,STOP_LOSS,-2.599999999999909,0.36733600000000005,0.07999999999992724,-2.967335999999909,-1.0317460317460032,-1.177514285714258,4.980551280000001,2.519999999999982,0.005,0.00252984043163991,,HYP-FCR-04,stress,996.1102560000003,993.1429200000003,6.000000000000227,0.8690071428571409,0.06904431165287428,1,1,45.999999999997954,1.259999999999991,5.0,458.44,0.10000000000002274,2,2022,11
QQQ,2022-01-11,short,380.0598,377.2182,2022-01-11T15:30:00+00:00,2022-01-11T15:35:00+00:00,379.26,0.29000000000002046,381.43,374.91999999999996,2,2,2022-01-11T15:40:00+00:00,379.25,2022-01-11T16:06:00+00:00,381.45,STOP_LOSS,-4.399999999999977,0.30428000000000005,0.05999999999994543,-4.704279999999978,-1.0138248847926141,-1.0839354838709547,4.98990063,4.340000000000032,0.005,0.004348783995724612,,HYP-FCR-04,stress,997.980126,993.2758460000001,29.000000000002046,1.4701142857142844,0.19726357523226037,1,1,136.02000000000203,2.170000000000016,5.0,380.39,1.0400000000000205,2,2022,10
SPY,2022-01-12,short,472.68,470.89,2022-01-12T15:25:00+00:00,2022-01-12T15:30:00+00:00,471.89,0.040000000000020464,472.73,470.2099999999999,2,2,2022-01-12T15:35:00+00:00,471.88,2022-01-12T15:42:00+00:00,470.2299999999999,TAKE_PROFIT,3.300000000000182,0.37684399999999996,0.05999999999994543,2.9231560000001817,1.9642857142857482,1.7399738095238517,4.965714600000002,1.6800000000000637,0.005,0.001691599432637614,,HYP-FCR-04,stress,993.1429200000003,996.0660760000005,4.000000000002046,0.8139923076923048,0.04914051351839158,1,1,4.000000000002046,0.8400000000000318,5.0,472.9,0.16999999999995907,2,2022,10
