scenario,year,completed_trades,net_expectancy_R,gross_expectancy_R,profit_factor_net,total_net_pnl,maximum_drawdown,win_rate,average_win_R,average_loss_R,median_trade_R,longest_losing_streak,exposure_time_minutes,intended_risk_percent_mean,realized_risk_percent_mean,sizing_rejections,minutes_between_last_touch_and_confirmation_mean,fvg_size_ticks_mean,fvg_size_normalized_by_atr_mean,tp_exits,sl_exits,session_close_exits
baseline,2022,342,-0.007159063374164895,0.05240604176187647,1.0523853340740552,34.290154110012544,0.04582286857978557,0.37719298245614036,1.6690550930840942,-1.022331017285505,-1.0387099702380882,11,37309.0,0.004999999999999999,0.0030298820647964957,0,10.350877192982455,34.867046783625746,0.3835168445873326,100,193,49
baseline,2023,351,-0.08302284975828433,0.025820835544796854,0.9747549054324676,-11.503348799985964,0.04089081133880362,0.39316239316239315,1.4844695548735563,-1.0985813090972234,-1.056817041800639,11,34853.0,0.005,0.0020559205501435914,0,9.92877492877493,22.83492877492866,0.382213966165118,94,198,59
baseline,2024,332,-0.22024921225829205,-0.09878061199155752,0.7355538373520739,-93.16286746999225,0.05844992965932121,0.32831325301204817,1.5209149787912188,-1.0713115298564835,-1.0740346204051678,16,31301.0,0.004999999999999999,0.0015871005076490432,0,10.0,25.970632530120415,0.3803205112163689,79,202,51
severe,2022,342,-0.15955948907782794,0.01913582633029609,0.8463696535742401,-111.34434035996117,0.09350616632410506,0.37719298245614036,1.5177433018803497,-1.1753907568412312,-1.1192810327918776,11,37309.0,0.004999999999999999,0.00305219832299822,0,10.350877192982455,34.867046783625746,0.3835168445873326,100,193,49
severe,2023,351,-0.35571840679577116,-0.029187350886527505,0.7123584939067371,-147.7454495199606,0.09201094463827714,0.37606837606837606,1.2925236098244164,-1.3491793483202676,-1.180172993248264,11,34853.0,0.005,0.002165500945002,0,9.92877492877493,22.83492877492866,0.382213966165118,94,198,59
severe,2024,332,-0.5114251599379503,-0.14701935913774683,0.5062349424300799,-155.73017482998108,0.08629245323352581,0.3253012048192771,1.2259112821269997,-1.3490695159335513,-1.222986867738162,16,31301.0,0.004999999999999999,0.001391726708904551,0,10.0,25.970632530120415,0.3803205112163689,79,202,51
stress,2022,342,-0.08335927622599643,0.03577093404608629,0.9314377717747677,-47.20947223997416,0.07077303443914405,0.37719298245614036,1.593399197482222,-1.098860887063368,-1.081039121310178,11,37309.0,0.004999999999999999,0.003028263511063726,0,10.350877192982455,34.867046783625746,0.3835168445873326,100,193,49
stress,2023,351,-0.21937062827702775,-0.0016832576708652998,0.8429688937916442,-76.25057371997265,0.06402096265768366,0.3903133903133903,1.368700986930292,-1.236033297825639,-1.120064951768475,11,34853.0,0.005,0.002120516737207222,0,9.92877492877493,22.83492877492866,0.382213966165118,94,198,59
stress,2024,332,-0.36583718609812127,-0.12289998556465222,0.6077772907361151,-126.80155651998584,0.07250985898410699,0.3253012048192771,1.380414607668146,-1.2077800152354286,-1.1476460199202092,16,31301.0,0.004999999999999999,0.0014401832054185245,0,10.0,25.970632530120415,0.3803205112163689,79,202,51
